------Environmental scientists and geoscientists,72,1358,55,1388,17,-
"------Physical scientists, all other",179,1447,116,1547,63,1262
------Economists,27,-,16,-,12,-
------Survey researchers,3,-,3,-,0,-
------Psychologists,124,1232,31,-,94,1212
------Sociologists,5,-,1,-,4,-
------Urban and regional planners,23,-,18,-,5,-
------Miscellaneous social scientists and related workers,36,-,20,-,16,-
------Agricultural and food science technicians,36,-,22,-,13,-
------Biological technicians,21,-,13,-,8,-
------Chemical technicians,67,910,45,-,22,-
------Geological and petroleum technicians,23,-,18,-,5,-
------Nuclear technicians,3,-,0,-,3,-
------Social science research assistants,1,-,0,-,1,-
"------Miscellaneous life, physical, and social science technicians",110,851,58,872,53,805
----Community and social service occupations,2005,858,741,934,1264,824
------Counselors,552,849,174,885,378,831
------Social workers,690,844,127,892,563,839
------Probation officers and correctional treatment specialists,95,999,45,-,50,1141
------Social and human service assistants,142,716,29,-,113,673
"------Miscellaneous community and social service specialists, including health educators and community health workers",93,773,26,-,66,747
------Clergy,356,958,303,1007,53,763
"------Directors, religious activities and education",37,-,20,-,18,-
"------Religious workers, all other",40,-,17,-,23,-
----Legal occupations,1313,1271,591,1765,722,1001
------Lawyers,737,1807,486,1915,251,1590
------Judicial law clerks,12,-,6,-,6,-
"------Judges, magistrates, and other judicial workers",48,-,23,-,26,-
------Paralegals and legal assistants,359,831,37,-,321,840
------Miscellaneous legal support workers,158,870,39,-,118,817
"----Education, training, and library occupations",6595,953,1763,1141,4832,897
------Postsecondary teachers,860,1256,454,1409,405,1143
------Preschool and kindergarten teachers,499,634,13,-,486,625
------Elementary and middle school teachers,2730,980,534,1096,2196,956
------Secondary school teachers,981,1037,432,1108,549,984
------Special education teachers,295,1001,57,1078,239,987
------Other teachers and instructors,340,846,142,1096,198,772
"------Archivists, curators, and museum technicians",32,-,12,-,20,-
------Librarians,155,889,27,-,129,849
------Library technicians,9,-,3,-,6,-
------Teacher assistants,545,498,52,580,492,494
"------Other education, training, and library workers",149,956,37,-,111,983
"----Arts, design, entertainment, sports, and media occupations",1573,956,906,1024,667,870
------Artists and related workers,65,1166,43,-,22,-
------Designers,546,921,289,1020,257,812
------Actors,13,-,8,-,5,-
------Producers and directors,101,1192,66,1224,35,-
"------Athletes, coaches, umpires, and related workers",113,871,83,974,29,-
------Dancers and choreographers,8,-,0,-,8,-
"------Musicians, singers, and related workers",39,-,28,-,11,-
"------Entertainers and performers, sports and related workers, all other",10,-,4,-,6,-
------Announcers,28,-,23,-,5,-
"------News analysts, reporters and correspondents",59,802,35,-,24,-
------Public relations specialists,111,982,42,-,69,933
------Editors,120,1018,73,1051,47,-
------Technical writers,51,1297,27,-,23,-
------Writers and authors,103,1016,42,-,60,863
------Miscellaneous media and communication workers,39,-,13,-,25,-
------Broadcast and sound engineering technicians and radio operators,79,948,67,958,11,-
------Photographers,55,938,32,-,22,-
"------Television, video, and motion picture camera operators and editors",34,-,28,-,6,-
"------Media and communication equipment workers, all other",0,-,0,-,0,-
----Healthcare practitioners and technical occupations,6438,1033,1663,1256,4775,983
------Chiropractors,18,-,16,-,2,-
------Dentists,61,1908,38,-,22,-
------Dietitians and nutritionists,86,919,6,-,80,875
------Optometrists,28,-,17,-,10,-
------Pharmacists,214,1995,103,2176,111,1902
------Physicians and surgeons,759,1661,475,2002,284,1246
------Physician assistants,71,1619,22,-,49,-
------Podiatrists,2,-,1,-,0,-
------Audiologists,11,-,2,-,9,-
------Occupational therapists,80,1146,7,-,72,1139
------Physical therapists,193,1387,74,1478,118,1307
------Radiation therapists,12,-,5,-,7,-
------Recreational therapists,10,-,3,-,7,-
------Respiratory therapists,95,1037,38,-,57,906
------Speech-language pathologists,101,1086,3,-,98,1089
------Exercise physiologists,2,-,1,-,1,-
"------Therapists, all other",119,908,28,-,91,863
------Veterinarians,38,-,9,-,29,-
------Registered nurses,2309,1090,245,1190,2064,1076
------Nurse anesthetists,24,-,9,-,15,-
------Nurse midwives,2,-,0,-,2,-
------Nurse practitioners,100,1683,9,-,90,1682
"------Health diagnosing and treating practitioners, all other",7,-,1,-,6,-
------Clinical laboratory technologists and technicians,264,824,70,878,194,818
------Dental hygienists,87,957,5,-,82,951
------Diagnostic related technologists and technicians,256,991,70,1156,187,940
------Emergency medical technicians and paramedics,207,754,152,791,55,709
------Health practitioner support technologists and technicians,443,618,93,618,350,618
------Licensed practical and licensed vocational nurses,506,751,55,868,451,737
------Medical records and health information technicians,120,790,16,-,104,796
"------Opticians, dispensing",28,-,11,-,17,-
------Miscellaneous health technologists and technicians,92,820,33,-,58,690
------Other healthcare practitioners and technical occupations,93,1000,43,-,50,930
Service occupations,15019,505,7622,583,7398,461
--Healthcare support occupations,2368,498,307,560,2060,492
