"Total, full-time wage and salary workers",109080,809,60746,895,48334,726
"Management, professional, and related occupations",44844,1158,21807,1383,23038,996
"--Management, business, and financial operations occupations",18422,1258,10018,1436,8404,1073
----Management occupations,12480,1351,7332,1486,5147,1139
------Chief executives,1046,2041,763,2251,283,1836
------General and operations managers,823,1260,621,1347,202,1002
------Legislators,8,-,5,-,4,-
------Advertising and promotions managers,55,1050,29,-,26,-
------Marketing and sales managers,948,1462,570,1603,378,1258
------Public relations and fundraising managers,59,1557,24,-,35,-
------Administrative services managers,170,1191,96,1451,73,981
------Computer and information systems managers,636,1728,466,1817,169,1563
------Financial managers,1124,1408,551,1732,573,1130
------Compensation and benefits managers,23,-,7,-,16,-
------Human resources managers,254,1365,68,1495,186,1274
------Training and development managers,37,-,17,-,20,-
------Industrial production managers,267,1485,221,1528,45,-
------Purchasing managers,193,1348,109,1404,84,1226
"------Transportation, storage, and distribution managers",276,966,224,1006,52,749
"------Farmers, ranchers, and other agricultural managers",129,769,106,847,23,-
------Construction managers,471,1329,429,1357,42,-
------Education administrators,778,1423,282,1585,496,1252
------Architectural and engineering managers,110,1899,101,1892,10,-
------Food service managers,763,742,389,820,374,680
------Funeral service managers,13,-,10,-,2,-
------Gaming managers,19,-,13,-,6,-
------Lodging managers,123,985,54,1171,68,902
------Medical and health services managers,592,1210,154,1422,438,1156
------Natural sciences managers,24,-,11,-,13,-
------Postmasters and mail superintendents,20,-,10,-,10,-
"------Property, real estate, and community association managers",401,914,171,1137,230,823
------Social and community service managers,305,1022,105,1142,200,965
------Emergency management directors,9,-,6,-,3,-
"------Managers, all other",2803,1408,1717,1525,1085,1213
----Business and financial operations occupations,5942,1137,2686,1327,3256,1004
"------Agents and business managers of artists, performers, and athletes",27,-,13,-,14,-
"------Buyers and purchasing agents, farm products",11,-,9,-,2,-
"------Wholesale and retail buyers, except farm products",142,926,73,886,69,985
"------Purchasing agents, except wholesale, retail, and farm products",260,1009,136,1020,124,986
"------Claims adjusters, appraisers, examiners, and investigators",317,963,141,1134,176,824
------Compliance officers,235,1198,126,1375,109,1025
------Cost estimators,95,1232,83,1264,12,-
------Human resources workers,592,1002,151,1158,441,984
"------Compensation, benefits, and job analysis specialists",63,998,12,-,50,898
------Training and development specialists,107,990,42,-,65,1037
------Logisticians,111,1028,66,1075,44,-
------Management analysts,529,1431,291,1519,237,1348
"------Meeting, convention, and event planners",117,859,27,-,90,840
------Fundraisers,62,1136,14,-,48,-
------Market research analysts and marketing specialists,203,1284,85,1411,118,1239
"------Business operations specialists, all other",186,1090,74,1461,112,969
------Accountants and auditors,1464,1132,618,1345,846,988
------Appraisers and assessors of real estate,42,-,21,-,21,-
------Budget analysts,44,-,17,-,28,-
------Credit analysts,17,-,8,-,9,-
------Financial analysts,295,1426,168,1680,127,1171
------Personal financial advisors,407,1419,248,1738,159,1033
------Insurance underwriters,106,1149,44,-,63,956
------Financial examiners,17,-,9,-,8,-
------Credit counselors and loan officers,313,997,146,1186,166,906
"------Tax examiners and collectors, and revenue agents",59,1051,20,-,39,-
------Tax preparers,56,892,19,-,37,-
"------Financial specialists, all other",66,1162,25,-,40,-
--Professional and related occupations,26423,1112,11789,1343,14634,963
----Computer and mathematical occupations,4009,1428,3036,1503,973,1245
------Computer and information research scientists,28,-,23,-,5,-
------Computer systems analysts,499,1389,325,1462,173,1256
------Information security analysts,67,1538,56,1562,11,-
------Computer programmers,450,1438,357,1501,93,1302
"------Software developers, applications and systems software",1287,1682,1054,1751,232,1415
------Web developers,151,1165,98,1233,53,1026
------Computer support specialists,396,1079,291,1135,105,908
------Database administrators,90,1536,58,1829,32,-
------Network and computer systems administrators,208,1242,179,1266,28,-
------Computer network architects,115,1552,100,1577,15,-
"------Computer occupations, all other",490,1227,374,1252,116,1145
------Actuaries,24,-,18,-,6,-
------Mathematicians,6,-,6,-,0,-
------Operations research analysts,122,1441,59,1574,63,1325
------Statisticians,76,1275,37,-,39,-
------Miscellaneous mathematical science occupations,1,-,1,-,0,-
----Architecture and engineering occupations,2656,1424,2272,1452,383,1257
"------Architects, except naval",138,1441,106,1492,31,-
"------Surveyors, cartographers, and photogrammetrists",29,-,23,-,6,-
------Aerospace engineers,140,1662,122,1668,18,-
------Agricultural engineers,5,-,5,-,0,-
