Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
"Total, full-time wage and salary workers",total-full-time-wage-and-salary-workers,,"114,316",998,"62,928","1,097","51,388",912,2021
"Management, professional, and related occupations",management-professional-and-related-occupations,,"51,166","1,390","24,561","1,609","26,605","1,222",2021
"Management, business, and financial operations occupations",management-business-and-financial-operations-occupations,management-professional-and-related-occupations,"21,529","1,482","11,231","1,672","10,299","1,306",2021
Management occupations,management-occupations,management-business-and-financial-operations-occupations,"13,942","1,546","7,826","1,752","6,116","1,341",2021
Chief executives,chief-executives,management-occupations,"1,151","2,473",803,"2,721",348,"1,904",2021
General and operations managers,general-and-operations-managers,management-occupations,999,"1,449",637,"1,548",361,"1,285",2021
Legislators,legislators,management-occupations,13,-,6,-,7,-,2021
Advertising and promotions managers,advertising-and-promotions-managers,management-occupations,55,"1,338",31,-,23,-,2021
Marketing managers,marketing-managers,management-occupations,490,"1,545",182,"1,698",309,"1,490",2021
Sales managers,sales-managers,management-occupations,500,"1,749",350,"1,910",150,"1,344",2021
Public relations and fundraising managers,public-relations-and-fundraising-managers,management-occupations,100,"1,670",34,-,66,"1,659",2021
Administrative services managers,administrative-services-managers,management-occupations,50,"1,227",9,-,41,-,2021
Facilities managers,facilities-managers,management-occupations,132,"1,456",106,"1,542",25,-,2021
Computer and information systems managers,computer-and-information-systems-managers,management-occupations,675,"2,085",492,"2,135",184,"1,908",2021
Financial managers,financial-managers,management-occupations,"1,220","1,569",539,"1,885",681,"1,372",2021
Compensation and benefits managers,compensation-and-benefits-managers,management-occupations,18,-,5,-,14,-,2021
Human resources managers,human-resources-managers,management-occupations,260,"1,587",49,-,211,"1,545",2021
Training and development managers,training-and-development-managers,management-occupations,49,-,15,-,34,-,2021
Industrial production managers,industrial-production-managers,management-occupations,236,"1,636",190,"1,666",46,-,2021
Purchasing managers,purchasing-managers,management-occupations,214,"1,562",117,"1,612",97,"1,363",2021
"Transportation, storage, and distribution managers",transportation-storage-and-distribution-managers,management-occupations,304,"1,113",239,"1,221",65,984,2021
"Farmers, ranchers, and other agricultural managers",farmers-ranchers-and-other-agricultural-managers,management-occupations,126,"1,032",103,"1,048",24,-,2021
Construction managers,construction-managers,management-occupations,633,"1,534",578,"1,548",54,"1,165",2021
Education and childcare administrators,education-and-childcare-administrators,management-occupations,856,"1,551",315,"1,857",540,"1,411",2021
Architectural and engineering managers,architectural-and-engineering-managers,management-occupations,176,"2,709",156,"2,723",20,-,2021
Food service managers,food-service-managers,management-occupations,758,881,360,"1,014",398,789,2021
Funeral home managers,funeral-home-managers,management-occupations,5,-,4,-,2,-,2021
Entertainment and recreation managers,entertainment-and-recreation-managers,management-occupations,31,-,22,-,10,-,2021
Lodging managers,lodging-managers,management-occupations,83,973,42,-,41,-,2021
