Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
Medical and health services managers,medical-and-health-services-managers,management-occupations,676,"1,463",161,"1,773",515,"1,363",2021
Natural sciences managers,natural-sciences-managers,management-occupations,17,-,9,-,9,-,2021
Postmasters and mail superintendents,postmasters-and-mail-superintendents,management-occupations,12,-,6,-,6,-,2021
"Property, real estate, and community association managers",property-real-estate-and-community-association-managers,management-occupations,466,"1,162",212,"1,360",254,"1,086",2021
Social and community service managers,social-and-community-service-managers,management-occupations,348,"1,204",125,"1,317",222,"1,150",2021
Emergency management directors,emergency-management-directors,management-occupations,12,-,5,-,7,-,2021
"Personal service managers, all other",personal-service-managers-all-other,management-occupations,0,-,0,-,0,-,2021
"Managers, all other",managers-all-other,management-occupations,"3,276","1,573","1,924","1,747","1,352","1,396",2021
Business and financial operations occupations,business-and-financial-operations-occupations,management-business-and-financial-operations-occupations,"7,587","1,382","3,404","1,552","4,183","1,253",2021
"Agents and business managers of artists, performers, and athletes",agents-and-business-managers-of-artists-performers-and-athletes,business-and-financial-operations-occupations,30,-,15,-,15,-,2021
"Buyers and purchasing agents, farm products",buyers-and-purchasing-agents-farm-products,business-and-financial-operations-occupations,9,-,8,-,1,-,2021
"Wholesale and retail buyers, except farm products",wholesale-and-retail-buyers-except-farm-products,business-and-financial-operations-occupations,126,"1,061",56,"1,072",69,"1,027",2021
"Purchasing agents, except wholesale, retail, and farm products",purchasing-agents-except-wholesale-retail-and-farm-products,business-and-financial-operations-occupations,212,"1,165",80,"1,165",132,"1,165",2021
"Claims adjusters, appraisers, examiners, and investigators",claims-adjusters-appraisers-examiners-and-investigators,business-and-financial-operations-occupations,327,"1,147",138,"1,327",189,973,2021
Compliance officers,compliance-officers,business-and-financial-operations-occupations,274,"1,369",137,"1,331",137,"1,423",2021
Cost estimators,cost-estimators,business-and-financial-operations-occupations,119,"1,395",92,"1,448",27,-,2021
Human resources workers,human-resources-workers,business-and-financial-operations-occupations,795,"1,251",217,"1,411",579,"1,212",2021
"Compensation, benefits, and job analysis specialists",compensation-benefits-and-job-analysis-specialists,business-and-financial-operations-occupations,66,"1,232",18,-,48,-,2021
Training and development specialists,training-and-development-specialists,business-and-financial-operations-occupations,130,"1,342",66,"1,464",64,"1,195",2021
Logisticians,logisticians,business-and-financial-operations-occupations,116,"1,322",72,"1,336",43,-,2021
Project management specialists,project-management-specialists,business-and-financial-operations-occupations,735,"1,649",415,"1,861",321,"1,455",2021
Management analysts,management-analysts,business-and-financial-operations-occupations,707,"1,608",384,"1,887",323,"1,451",2021
"Meeting, convention, and event planners",meeting-convention-and-event-planners,business-and-financial-operations-occupations,84,"1,080",13,-,71,"1,037",2021
Fundraisers,fundraisers,business-and-financial-operations-occupations,80,"1,667",26,-,54,"1,540",2021
Market research analysts and marketing specialists,market-research-analysts-and-marketing-specialists,business-and-financial-operations-occupations,335,"1,446",135,"1,743",200,"1,276",2021
"Business operations specialists, all other",business-operations-specialists-all-other,business-and-financial-operations-occupations,497,"1,241",208,"1,326",289,"1,162",2021
Accountants and auditors,accountants-and-auditors,business-and-financial-operations-occupations,"1,374","1,345",521,"1,494",852,"1,261",2021
Property appraisers and assessors,property-appraisers-and-assessors,business-and-financial-operations-occupations,39,-,25,-,14,-,2021
Budget analysts,budget-analysts,business-and-financial-operations-occupations,59,"1,558",24,-,35,-,2021
Credit analysts,credit-analysts,business-and-financial-operations-occupations,46,-,17,-,29,-,2021
Financial and investment analysts,financial-and-investment-analysts,business-and-financial-operations-occupations,313,"1,719",177,"1,837",137,"1,607",2021
Personal financial advisors,personal-financial-advisors,business-and-financial-operations-occupations,389,"1,773",235,"2,183",154,"1,424",2021
Insurance underwriters,insurance-underwriters,business-and-financial-operations-occupations,122,"1,367",49,-,73,"1,365",2021
Financial examiners,financial-examiners,business-and-financial-operations-occupations,13,-,4,-,9,-,2021
Credit counselors and loan officers,credit-counselors-and-loan-officers,business-and-financial-operations-occupations,427,"1,332",208,"1,560",218,"1,127",2021
"Tax examiners and collectors, and revenue agents",tax-examiners-and-collectors-and-revenue-agents,business-and-financial-operations-occupations,60,"1,015",28,-,31,-,2021
Tax preparers,tax-preparers,business-and-financial-operations-occupations,50,961,20,-,30,-,2021
Other financial specialists,other-financial-specialists,business-and-financial-operations-occupations,54,"1,441",17,-,37,-,2021
Professional and related occupations,professional-and-related-occupations,management-professional-and-related-occupations,"29,637","1,335","13,330","1,555","16,306","1,167",2021
Computer and mathematical occupations,computer-and-mathematical-occupations,professional-and-related-occupations,"5,267","1,660","3,917","1,742","1,350","1,499",2021
Computer and information research scientists,computer-and-information-research-scientists,computer-and-mathematical-occupations,41,-,28,-,13,-,2021
Computer systems analysts,computer-systems-analysts,computer-and-mathematical-occupations,423,"1,489",266,"1,556",157,"1,414",2021
Information security analysts,information-security-analysts,computer-and-mathematical-occupations,145,"1,874",120,"1,904",26,-,2021
Computer programmers,computer-programmers,computer-and-mathematical-occupations,387,"1,734",308,"1,742",79,"1,677",2021
Software developers,software-developers,computer-and-mathematical-occupations,"1,875","1,922","1,507","1,992",369,"1,840",2021
Software quality assurance analysts and testers,software-quality-assurance-analysts-and-testers,computer-and-mathematical-occupations,70,"1,550",37,-,33,-,2021
Web developers,web-developers,computer-and-mathematical-occupations,59,"1,327",38,-,22,-,2021
Web and digital interface designers,web-and-digital-interface-designers,computer-and-mathematical-occupations,40,-,23,-,17,-,2021
Computer support specialists,computer-support-specialists,computer-and-mathematical-occupations,620,"1,256",471,"1,265",148,"1,209",2021
Database administrators and architects,database-administrators-and-architects,computer-and-mathematical-occupations,103,"1,879",68,"1,920",35,-,2021
Network and computer systems administrators,network-and-computer-systems-administrators,computer-and-mathematical-occupations,205,"1,505",171,"1,529",35,-,2021
Computer network architects,computer-network-architects,computer-and-mathematical-occupations,104,"1,990",93,"2,006",11,-,2021
"Computer occupations, all other",computer-occupations-all-other,computer-and-mathematical-occupations,787,"1,413",577,"1,483",211,"1,143",2021
Actuaries,actuaries,computer-and-mathematical-occupations,30,-,16,-,15,-,2021
Mathematicians,mathematicians,computer-and-mathematical-occupations,2,-,2,-,0,-,2021
Operations research analysts,operations-research-analysts,computer-and-mathematical-occupations,126,"1,574",60,"1,773",67,"1,408",2021
Statisticians,statisticians,computer-and-mathematical-occupations,37,-,21,-,15,-,2021
Other mathematical science occupations,other-mathematical-science-occupations,computer-and-mathematical-occupations,213,"1,458",115,"1,470",99,"1,388",2021
Architecture and engineering occupations,architecture-and-engineering-occupations,professional-and-related-occupations,"2,985","1,641","2,483","1,725",502,"1,435",2021
"Architects, except landscape and naval",architects-except-landscape-and-naval,architecture-and-engineering-occupations,151,"1,642",106,"1,751",45,-,2021
Landscape architects,landscape-architects,architecture-and-engineering-occupations,19,-,12,-,6,-,2021
"Surveyors, cartographers, and photogrammetrists",surveyors-cartographers-and-photogrammetrists,architecture-and-engineering-occupations,34,-,31,-,4,-,2021
Aerospace engineers,aerospace-engineers,architecture-and-engineering-occupations,125,"1,863",103,"1,895",22,-,2021
Agricultural engineers,agricultural-engineers,architecture-and-engineering-occupations,8,-,8,-,0,-,2021
Bioengineers and biomedical engineers,bioengineers-and-biomedical-engineers,architecture-and-engineering-occupations,15,-,15,-,1,-,2021
Chemical engineers,chemical-engineers,architecture-and-engineering-occupations,76,"1,875",65,"1,915",12,-,2021
Civil engineers,civil-engineers,architecture-and-engineering-occupations,403,"1,633",334,"1,661",69,"1,531",2021
Computer hardware engineers,computer-hardware-engineers,architecture-and-engineering-occupations,86,"2,006",77,"2,083",9,-,2021
Electrical and electronics engineers,electrical-and-electronics-engineers,architecture-and-engineering-occupations,286,"1,899",267,"1,910",19,-,2021
Environmental engineers,environmental-engineers,architecture-and-engineering-occupations,32,-,20,-,12,-,2021
"Industrial engineers, including health and safety",industrial-engineers-including-health-and-safety,architecture-and-engineering-occupations,221,"1,648",161,"1,725",60,"1,571",2021
Marine engineers and naval architects,marine-engineers-and-naval-architects,architecture-and-engineering-occupations,15,-,15,-,0,-,2021
Materials engineers,materials-engineers,architecture-and-engineering-occupations,49,-,33,-,15,-,2021
Mechanical engineers,mechanical-engineers,architecture-and-engineering-occupations,329,"1,660",298,"1,732",31,-,2021
"Mining and geological engineers, including mining safety engineers",mining-and-geological-engineers-including-mining-safety-engineers,architecture-and-engineering-occupations,9,-,6,-,3,-,2021
Nuclear engineers,nuclear-engineers,architecture-and-engineering-occupations,11,-,10,-,2,-,2021
Petroleum engineers,petroleum-engineers,architecture-and-engineering-occupations,11,-,8,-,3,-,2021
"Engineers, all other",engineers-all-other,architecture-and-engineering-occupations,602,"1,771",505,"1,833",97,"1,549",2021
Architectural and civil drafters,architectural-and-civil-drafters,architecture-and-engineering-occupations,29,-,21,-,7,-,2021
Other drafters,other-drafters,architecture-and-engineering-occupations,90,"1,280",66,"1,437",25,-,2021
Electrical and electronic engineering technologists and technicians,electrical-and-electronic-engineering-technologists-and-technicians,architecture-and-engineering-occupations,62,"1,243",55,"1,261",7,-,2021
"Other engineering technologists and technicians, except drafters",other-engineering-technologists-and-technicians-except-drafters,architecture-and-engineering-occupations,275,"1,245",222,"1,367",52,903,2021
Surveying and mapping technicians,surveying-and-mapping-technicians,architecture-and-engineering-occupations,50,796,48,-,2,-,2021
"Life, physical, and social science occupations",life-physical-and-social-science-occupations,professional-and-related-occupations,"1,391","1,407",763,"1,496",627,"1,342",2021
Agricultural and food scientists,agricultural-and-food-scientists,life-physical-and-social-science-occupations,30,-,16,-,14,-,2021
Biological scientists,biological-scientists,life-physical-and-social-science-occupations,89,"1,317",46,-,42,-,2021
Conservation scientists and foresters,conservation-scientists-and-foresters,life-physical-and-social-science-occupations,19,-,12,-,7,-,2021
Medical scientists,medical-scientists,life-physical-and-social-science-occupations,116,"1,662",57,"2,291",59,"1,368",2021
"Life scientists, all other",life-scientists-all-other,life-physical-and-social-science-occupations,8,-,3,-,5,-,2021
Astronomers and physicists,astronomers-and-physicists,life-physical-and-social-science-occupations,19,-,13,-,6,-,2021
Atmospheric and space scientists,atmospheric-and-space-scientists,life-physical-and-social-science-occupations,9,-,6,-,3,-,2021
Chemists and materials scientists,chemists-and-materials-scientists,life-physical-and-social-science-occupations,90,"1,647",62,"1,681",28,-,2021
"Environmental scientists and specialists, including health",environmental-scientists-and-specialists-including-health,life-physical-and-social-science-occupations,39,-,25,-,15,-,2021
"Geoscientists and hydrologists, except geographers",geoscientists-and-hydrologists-except-geographers,life-physical-and-social-science-occupations,42,-,31,-,11,-,2021
"Physical scientists, all other",physical-scientists-all-other,life-physical-and-social-science-occupations,332,"1,738",193,"1,933",138,"1,500",2021
Economists,economists,life-physical-and-social-science-occupations,20,-,12,-,8,-,2021
Survey researchers,survey-researchers,life-physical-and-social-science-occupations,1,-,0,-,1,-,2021
Clinical and counseling psychologists,clinical-and-counseling-psychologists,life-physical-and-social-science-occupations,4,-,1,-,3,-,2021
School psychologists,school-psychologists,life-physical-and-social-science-occupations,51,"1,343",5,-,47,-,2021
Other psychologists,other-psychologists,life-physical-and-social-science-occupations,56,"1,493",13,-,43,-,2021
Sociologists,sociologists,life-physical-and-social-science-occupations,4,-,0,-,4,-,2021
Urban and regional planners,urban-and-regional-planners,life-physical-and-social-science-occupations,21,-,11,-,10,-,2021
Miscellaneous social scientists and related workers,miscellaneous-social-scientists-and-related-workers,life-physical-and-social-science-occupations,47,-,23,-,24,-,2021
Agricultural and food science technicians,agricultural-and-food-science-technicians,life-physical-and-social-science-occupations,37,-,28,-,9,-,2021
Biological technicians,biological-technicians,life-physical-and-social-science-occupations,14,-,9,-,6,-,2021
Chemical technicians,chemical-technicians,life-physical-and-social-science-occupations,39,-,20,-,19,-,2021
Environmental science and geoscience technicians,environmental-science-and-geoscience-technicians,life-physical-and-social-science-occupations,12,-,7,-,5,-,2021
Nuclear technicians,nuclear-technicians,life-physical-and-social-science-occupations,4,-,4,-,0,-,2021
Social science research assistants,social-science-research-assistants,life-physical-and-social-science-occupations,5,-,2,-,3,-,2021
"Other life, physical, and social science technicians",other-life-physical-and-social-science-technicians,life-physical-and-social-science-occupations,213,"1,093",114,"1,142",98,"1,059",2021
Occupational health and safety specialists and technicians,occupational-health-and-safety-specialists-and-technicians,life-physical-and-social-science-occupations,70,"1,325",51,"1,388",19,-,2021
Community and social service occupations,community-and-social-service-occupations,professional-and-related-occupations,"2,276","1,065",788,"1,164","1,489","1,016",2021
Substance abuse and behavioral disorder counselors,substance-abuse-and-behavioral-disorder-counselors,community-and-social-service-occupations,110,969,41,-,69,911,2021
"Educational, guidance, and career counselors and advisors",educational-guidance-and-career-counselors-and-advisors,community-and-social-service-occupations,296,"1,091",69,"1,173",228,"1,077",2021
Marriage and family therapists,marriage-and-family-therapists,community-and-social-service-occupations,26,-,4,-,22,-,2021
Mental health counselors,mental-health-counselors,community-and-social-service-occupations,139,"1,140",38,-,101,"1,133",2021
Rehabilitation counselors,rehabilitation-counselors,community-and-social-service-occupations,9,-,2,-,7,-,2021
"Counselors, all other",counselors-all-other,community-and-social-service-occupations,181,953,75,"1,083",107,860,2021
"Child, family, and school social workers",child-family-and-school-social-workers,community-and-social-service-occupations,58,"1,012",11,-,46,-,2021
Healthcare social workers,healthcare-social-workers,community-and-social-service-occupations,71,924,17,-,54,894,2021
Mental health and substance abuse social workers,mental-health-and-substance-abuse-social-workers,community-and-social-service-occupations,7,-,0,-,7,-,2021
"Social workers, all other",social-workers-all-other,community-and-social-service-occupations,601,"1,073",93,"1,232",508,"1,049",2021
Probation officers and correctional treatment specialists,probation-officers-and-correctional-treatment-specialists,community-and-social-service-occupations,87,"1,247",42,-,45,-,2021
Social and human service assistants,social-and-human-service-assistants,community-and-social-service-occupations,160,914,34,-,126,886,2021
Other community and social service specialists,other-community-and-social-service-specialists,community-and-social-service-occupations,88,"1,111",19,-,69,"1,050",2021
Clergy,clergy,community-and-social-service-occupations,339,"1,135",296,"1,152",43,-,2021
"Directors, religious activities and education",directors-religious-activities-and-education,community-and-social-service-occupations,45,-,26,-,19,-,2021
"Religious workers, all other",religious-workers-all-other,community-and-social-service-occupations,60,937,20,-,39,-,2021
Legal occupations,legal-occupations,professional-and-related-occupations,"1,401","1,586",594,"2,233",807,"1,332",2021
Lawyers,lawyers,legal-occupations,793,"2,252",462,"2,495",331,"1,912",2021
Judicial law clerks,judicial-law-clerks,legal-occupations,18,-,4,-,14,-,2021
"Judges, magistrates, and other judicial workers",judges-magistrates-and-other-judicial-workers,legal-occupations,68,"1,652",28,-,40,-,2021
Paralegals and legal assistants,paralegals-and-legal-assistants,legal-occupations,361,"1,080",51,"1,229",310,"1,065",2021
"Title examiners, abstractors, and searchers",title-examiners-abstractors-and-searchers,legal-occupations,89,"1,120",25,-,64,999,2021
"Legal support workers, all other",legal-support-workers-all-other,legal-occupations,72,"1,238",23,-,49,-,2021
"Education, training, and library occupations",education-training-and-library-occupations,professional-and-related-occupations,"7,124","1,138","1,877","1,332","5,248","1,071",2021
Postsecondary teachers,postsecondary-teachers,education-training-and-library-occupations,920,"1,550",460,"1,653",460,"1,483",2021
Preschool and kindergarten teachers,preschool-and-kindergarten-teachers,education-training-and-library-occupations,471,780,16,-,455,771,2021
Elementary and middle school teachers,elementary-and-middle-school-teachers,education-training-and-library-occupations,"3,000","1,163",625,"1,301","2,375","1,138",2021
Secondary school teachers,secondary-school-teachers,education-training-and-library-occupations,860,"1,216",365,"1,269",495,"1,159",2021
Special education teachers,special-education-teachers,education-training-and-library-occupations,338,"1,126",64,"1,198",275,"1,097",2021
Tutors,tutors,education-training-and-library-occupations,12,-,3,-,9,-,2021
Other teachers and instructors,other-teachers-and-instructors,education-training-and-library-occupations,389,"1,118",165,"1,260",224,"1,002",2021
"Archivists, curators, and museum technicians",archivists-curators-and-museum-technicians,education-training-and-library-occupations,42,-,13,-,29,-,2021
Librarians and media collections specialists,librarians-and-media-collections-specialists,education-training-and-library-occupations,144,"1,131",29,-,115,"1,142",2021
Library technicians,library-technicians,education-training-and-library-occupations,20,-,1,-,18,-,2021
Teaching assistants,teaching-assistants,education-training-and-library-occupations,803,641,116,639,687,641,2021
Other educational instruction and library workers,other-educational-instruction-and-library-workers,education-training-and-library-occupations,127,"1,271",20,-,107,"1,274",2021
"Arts, design, entertainment, sports, and media occupations",arts-design-entertainment-sports-and-media-occupations,professional-and-related-occupations,"1,707","1,229",925,"1,317",781,"1,145",2021
Artists and related workers,artists-and-related-workers,arts-design-entertainment-sports-and-media-occupations,87,"1,355",46,-,41,-,2021
Commercial and industrial designers,commercial-and-industrial-designers,arts-design-entertainment-sports-and-media-occupations,10,-,7,-,3,-,2021
Fashion designers,fashion-designers,arts-design-entertainment-sports-and-media-occupations,22,-,6,-,17,-,2021
Floral designers,floral-designers,arts-design-entertainment-sports-and-media-occupations,35,-,11,-,24,-,2021
Graphic designers,graphic-designers,arts-design-entertainment-sports-and-media-occupations,180,"1,163",89,"1,151",91,"1,225",2021
Interior designers,interior-designers,arts-design-entertainment-sports-and-media-occupations,45,-,5,-,40,-,2021
Merchandise displayers and window trimmers,merchandise-displayers-and-window-trimmers,arts-design-entertainment-sports-and-media-occupations,17,-,7,-,10,-,2021
Other designers,other-designers,arts-design-entertainment-sports-and-media-occupations,284,"1,402",185,"1,429",99,"1,271",2021
Actors,actors,arts-design-entertainment-sports-and-media-occupations,11,-,5,-,6,-,2021
Producers and directors,producers-and-directors,arts-design-entertainment-sports-and-media-occupations,139,"1,369",78,"1,522",61,"1,347",2021
Athletes and sports competitors,athletes-and-sports-competitors,arts-design-entertainment-sports-and-media-occupations,21,-,20,-,2,-,2021
Coaches and scouts,coaches-and-scouts,arts-design-entertainment-sports-and-media-occupations,110,913,81,"1,136",29,-,2021
"Umpires, referees, and other sports officials",umpires-referees-and-other-sports-officials,arts-design-entertainment-sports-and-media-occupations,2,-,2,-,0,-,2021
Dancers and choreographers,dancers-and-choreographers,arts-design-entertainment-sports-and-media-occupations,3,-,0,-,3,-,2021
Music directors and composers,music-directors-and-composers,arts-design-entertainment-sports-and-media-occupations,15,-,12,-,3,-,2021
Musicians and singers,musicians-and-singers,arts-design-entertainment-sports-and-media-occupations,13,-,11,-,2,-,2021
"Disc jockeys, except radio",disc-jockeys-except-radio,arts-design-entertainment-sports-and-media-occupations,3,-,2,-,1,-,2021
"Entertainers and performers, sports and related workers, all other",entertainers-and-performers-sports-and-related-workers-all-other,arts-design-entertainment-sports-and-media-occupations,9,-,8,-,1,-,2021
Broadcast announcers and radio disc jockeys,broadcast-announcers-and-radio-disc-jockeys,arts-design-entertainment-sports-and-media-occupations,12,-,7,-,4,-,2021
"News analysts, reporters, and journalists",news-analysts-reporters-and-journalists,arts-design-entertainment-sports-and-media-occupations,55,"1,036",22,-,33,-,2021
Public relations specialists,public-relations-specialists,arts-design-entertainment-sports-and-media-occupations,113,"1,641",44,-,69,"1,615",2021
Editors,editors,arts-design-entertainment-sports-and-media-occupations,63,"1,350",28,-,35,-,2021
Technical writers,technical-writers,arts-design-entertainment-sports-and-media-occupations,62,"1,540",31,-,31,-,2021
Writers and authors,writers-and-authors,arts-design-entertainment-sports-and-media-occupations,131,"1,239",49,-,82,"1,155",2021
Interpreters and translators,interpreters-and-translators,arts-design-entertainment-sports-and-media-occupations,52,993,13,-,39,-,2021
Court reporters and simultaneous captioners,court-reporters-and-simultaneous-captioners,arts-design-entertainment-sports-and-media-occupations,12,-,3,-,9,-,2021
"Media and communication workers, all other",media-and-communication-workers-all-other,arts-design-entertainment-sports-and-media-occupations,23,-,12,-,12,-,2021
"Broadcast, sound, and lighting technicians",broadcast-sound-and-lighting-technicians,arts-design-entertainment-sports-and-media-occupations,54,"1,370",50,"1,537",5,-,2021
Photographers,photographers,arts-design-entertainment-sports-and-media-occupations,59,858,45,-,14,-,2021
"Television, video, and film camera operators and editors",television-video-and-film-camera-operators-and-editors,arts-design-entertainment-sports-and-media-occupations,63,"1,051",46,-,17,-,2021
"Media and communication equipment workers, all other",media-and-communication-equipment-workers-all-other,arts-design-entertainment-sports-and-media-occupations,3,-,3,-,0,-,2021
Healthcare practitioners and technical occupations,healthcare-practitioners-and-technical-occupations,professional-and-related-occupations,"7,485","1,273","1,983","1,516","5,503","1,218",2021
Chiropractors,chiropractors,healthcare-practitioners-and-technical-occupations,21,-,14,-,7,-,2021
Dentists,dentists,healthcare-practitioners-and-technical-occupations,76,"2,492",42,-,34,-,2021
Dietitians and nutritionists,dietitians-and-nutritionists,healthcare-practitioners-and-technical-occupations,88,"1,184",10,-,78,"1,179",2021
Optometrists,optometrists,healthcare-practitioners-and-technical-occupations,21,-,9,-,11,-,2021
Pharmacists,pharmacists,healthcare-practitioners-and-technical-occupations,245,"2,019",112,"2,010",133,"2,087",2021
Emergency medicine physicians,emergency-medicine-physicians,healthcare-practitioners-and-technical-occupations,21,-,17,-,4,-,2021
Radiologists,radiologists,healthcare-practitioners-and-technical-occupations,21,-,18,-,2,-,2021
Other physicians,other-physicians,healthcare-practitioners-and-technical-occupations,714,"2,418",410,"2,647",304,"2,283",2021
Surgeons,surgeons,healthcare-practitioners-and-technical-occupations,45,-,33,-,12,-,2021
Physician assistants,physician-assistants,healthcare-practitioners-and-technical-occupations,126,"1,884",47,-,79,"1,855",2021
Podiatrists,podiatrists,healthcare-practitioners-and-technical-occupations,3,-,3,-,0,-,2021
Audiologists,audiologists,healthcare-practitioners-and-technical-occupations,17,-,5,-,11,-,2021
Occupational therapists,occupational-therapists,healthcare-practitioners-and-technical-occupations,107,"1,467",23,-,84,"1,470",2021
Physical therapists,physical-therapists,healthcare-practitioners-and-technical-occupations,203,"1,527",74,"1,551",129,"1,478",2021
Radiation therapists,radiation-therapists,healthcare-practitioners-and-technical-occupations,14,-,5,-,9,-,2021
Recreational therapists,recreational-therapists,healthcare-practitioners-and-technical-occupations,11,-,2,-,9,-,2021
Respiratory therapists,respiratory-therapists,healthcare-practitioners-and-technical-occupations,104,"1,262",33,-,71,"1,242",2021
Speech-language pathologists,speech-language-pathologists,healthcare-practitioners-and-technical-occupations,132,"1,233",5,-,126,"1,229",2021
Exercise physiologists,exercise-physiologists,healthcare-practitioners-and-technical-occupations,1,-,1,-,0,-,2021
"Therapists, all other",therapists-all-other,healthcare-practitioners-and-technical-occupations,137,"1,147",24,-,113,"1,132",2021
Veterinarians,veterinarians,healthcare-practitioners-and-technical-occupations,67,"1,797",18,-,48,-,2021
Registered nurses,registered-nurses,healthcare-practitioners-and-technical-occupations,"2,615","1,305",375,"1,437","2,240","1,274",2021
Nurse anesthetists,nurse-anesthetists,healthcare-practitioners-and-technical-occupations,25,-,11,-,14,-,2021
Nurse midwives,nurse-midwives,healthcare-practitioners-and-technical-occupations,6,-,0,-,6,-,2021
Nurse practitioners,nurse-practitioners,healthcare-practitioners-and-technical-occupations,188,"1,955",28,-,160,"1,903",2021
Acupuncturists,acupuncturists,healthcare-practitioners-and-technical-occupations,3,-,0,-,3,-,2021
"Healthcare diagnosing or treating practitioners, all other",healthcare-diagnosing-or-treating-practitioners-all-other,healthcare-practitioners-and-technical-occupations,0,-,0,-,0,-,2021
Clinical laboratory technologists and technicians,clinical-laboratory-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,322,992,112,964,210,"1,001",2021
Dental hygienists,dental-hygienists,healthcare-practitioners-and-technical-occupations,97,"1,269",7,-,90,"1,264",2021
Cardiovascular technologists and technicians,cardiovascular-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,46,-,16,-,29,-,2021
Diagnostic medical sonographers,diagnostic-medical-sonographers,healthcare-practitioners-and-technical-occupations,61,"1,462",15,-,46,-,2021
Radiologic technologists and technicians,radiologic-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,201,"1,167",64,"1,280",137,"1,140",2021
Magnetic resonance imaging technologists,magnetic-resonance-imaging-technologists,healthcare-practitioners-and-technical-occupations,27,-,13,-,14,-,2021
Nuclear medicine technologists and medical dosimetrists,nuclear-medicine-technologists-and-medical-dosimetrists,healthcare-practitioners-and-technical-occupations,31,-,11,-,20,-,2021
Emergency medical technicians,emergency-medical-technicians,healthcare-practitioners-and-technical-occupations,110,883,79,910,31,-,2021
Paramedics,paramedics,healthcare-practitioners-and-technical-occupations,97,"1,288",67,"1,352",30,-,2021
Pharmacy technicians,pharmacy-technicians,healthcare-practitioners-and-technical-occupations,268,800,61,822,207,796,2021
Psychiatric technicians,psychiatric-technicians,healthcare-practitioners-and-technical-occupations,54,749,12,-,41,-,2021
Surgical technologists,surgical-technologists,healthcare-practitioners-and-technical-occupations,109,"1,036",31,-,78,"1,006",2021
Veterinary technologists and technicians,veterinary-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,106,779,9,-,97,765,2021
Dietetic technicians and ophthalmic medical technicians,dietetic-technicians-and-ophthalmic-medical-technicians,healthcare-practitioners-and-technical-occupations,37,-,7,-,31,-,2021
