Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
Structural iron and steel workers,structural-iron-and-steel-workers,construction-and-extraction-occupations,38,–,36,–,1,–,2020
Solar photovoltaic installers,solar-photovoltaic-installers,construction-and-extraction-occupations,18,–,18,–,0,–,2020
"Helpers, construction trades",helpers-construction-trades,construction-and-extraction-occupations,48,–,46,–,2,–,2020
Construction and building inspectors,construction-and-building-inspectors,construction-and-extraction-occupations,73,"1,119",62,"1,113",11,–,2020
Elevator and escalator installers and repairers,elevator-and-escalator-installers-and-repairers,construction-and-extraction-occupations,17,–,17,–,0,–,2020
Fence erectors,fence-erectors,construction-and-extraction-occupations,27,–,27,–,0,–,2020
Hazardous materials removal workers,hazardous-materials-removal-workers,construction-and-extraction-occupations,26,–,22,–,4,–,2020
Highway maintenance workers,highway-maintenance-workers,construction-and-extraction-occupations,89,846,83,868,6,–,2020
Rail-track laying and maintenance equipment operators,rail-track-laying-and-maintenance-equipment-operators,construction-and-extraction-occupations,5,–,5,–,0,–,2020
Septic tank servicers and sewer pipe cleaners,septic-tank-servicers-and-sewer-pipe-cleaners,construction-and-extraction-occupations,4,–,4,–,0,–,2020
Miscellaneous construction and related workers,miscellaneous-construction-and-related-workers,construction-and-extraction-occupations,22,–,22,–,0,–,2020
"Derrick, rotary drill, and service unit operators, oil and gas",derrick-rotary-drill-and-service-unit-operators-oil-and-gas,construction-and-extraction-occupations,16,–,16,–,0,–,2020
"Excavating and loading machine and dragline operators, surface mining",excavating-and-loading-machine-and-dragline-operators-surface-mining,construction-and-extraction-occupations,6,–,6,–,0,–,2020
"Earth drillers, except oil and gas",earth-drillers-except-oil-and-gas,construction-and-extraction-occupations,19,–,18,–,1,–,2020
"Explosives workers, ordnance handling experts, and blasters",explosives-workers-ordnance-handling-experts-and-blasters,construction-and-extraction-occupations,6,–,6,–,0,–,2020
Underground mining machine operators,underground-mining-machine-operators,construction-and-extraction-occupations,35,–,33,–,2,–,2020
"Roustabouts, oil and gas",roustabouts-oil-and-gas,construction-and-extraction-occupations,7,–,7,–,0,–,2020
Other extraction workers,other-extraction-workers,construction-and-extraction-occupations,40,–,40,–,0,–,2020
"Installation, maintenance, and repair occupations",installation-maintenance-and-repair-occupations,natural-resources-construction-and-maintenance-occupations,"4,077",984,"3,917",991,160,801,2020
"First-line supervisors of mechanics, installers, and repairers",first-line-supervisors-of-mechanics-installers-and-repairers,installation-maintenance-and-repair-occupations,212,"1,269",191,"1,283",21,–,2020
"Computer, automated teller, and office machine repairers",computer-automated-teller-and-office-machine-repairers,installation-maintenance-and-repair-occupations,142,960,127,965,15,–,2020
Radio and telecommunications equipment installers and repairers,radio-and-telecommunications-equipment-installers-and-repairers,installation-maintenance-and-repair-occupations,125,"1,192",116,"1,242",8,–,2020
Avionics technicians,avionics-technicians,installation-maintenance-and-repair-occupations,8,–,8,–,0,–,2020
"Electric motor, power tool, and related repairers",electric-motor-power-tool-and-related-repairers,installation-maintenance-and-repair-occupations,15,–,14,–,0,–,2020
"Electrical and electronics installers and repairers, transportation equipment",electrical-and-electronics-installers-and-repairers-transportation-equipment,installation-maintenance-and-repair-occupations,3,–,3,–,0,–,2020
"Electrical and electronics repairers, industrial and utility",electrical-and-electronics-repairers-industrial-and-utility,installation-maintenance-and-repair-occupations,9,–,9,–,0,–,2020
"Electronic equipment installers and repairers, motor vehicles",electronic-equipment-installers-and-repairers-motor-vehicles,installation-maintenance-and-repair-occupations,4,–,4,–,0,–,2020
Audiovisual equipment installers and repairers,audiovisual-equipment-installers-and-repairers,installation-maintenance-and-repair-occupations,23,–,22,–,1,–,2020
Security and fire alarm systems installers,security-and-fire-alarm-systems-installers,installation-maintenance-and-repair-occupations,50,"1,028",50,"1,028",0,–,2020
Aircraft mechanics and service technicians,aircraft-mechanics-and-service-technicians,installation-maintenance-and-repair-occupations,151,"1,164",146,"1,174",5,–,2020
Automotive body and related repairers,automotive-body-and-related-repairers,installation-maintenance-and-repair-occupations,102,904,100,975,2,–,2020
Automotive glass installers and repairers,automotive-glass-installers-and-repairers,installation-maintenance-and-repair-occupations,12,–,10,–,3,–,2020
Automotive service technicians and mechanics,automotive-service-technicians-and-mechanics,installation-maintenance-and-repair-occupations,585,855,581,857,4,–,2020
Bus and truck mechanics and diesel engine specialists,bus-and-truck-mechanics-and-diesel-engine-specialists,installation-maintenance-and-repair-occupations,312,"1,023",306,"1,023",6,–,2020
Heavy vehicle and mobile equipment service technicians and mechanics,heavy-vehicle-and-mobile-equipment-service-technicians-and-mechanics,installation-maintenance-and-repair-occupations,179,999,178,998,1,–,2020
Small engine mechanics,small-engine-mechanics,installation-maintenance-and-repair-occupations,36,–,36,–,0,–,2020
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",miscellaneous-vehicle-and-mobile-equipment-mechanics-installers-and-repairers,installation-maintenance-and-repair-occupations,72,665,71,668,1,–,2020
Control and valve installers and repairers,control-and-valve-installers-and-repairers,installation-maintenance-and-repair-occupations,25,–,24,–,1,–,2020
"Heating, air conditioning, and refrigeration mechanics and installers",heating-air-conditioning-and-refrigeration-mechanics-and-installers,installation-maintenance-and-repair-occupations,382,"1,003",377,"1,011",6,–,2020
Home appliance repairers,home-appliance-repairers,installation-maintenance-and-repair-occupations,24,–,22,–,1,–,2020
Industrial and refractory machinery mechanics,industrial-and-refractory-machinery-mechanics,installation-maintenance-and-repair-occupations,401,"1,031",377,"1,049",23,–,2020
"Maintenance and repair workers, general",maintenance-and-repair-workers-general,installation-maintenance-and-repair-occupations,550,895,526,897,24,–,2020
"Maintenance workers, machinery",maintenance-workers-machinery,installation-maintenance-and-repair-occupations,22,–,22,–,0,–,2020
Millwrights,millwrights,installation-maintenance-and-repair-occupations,62,"1,178",61,"1,185",1,–,2020
Electrical power-line installers and repairers,electrical-power-line-installers-and-repairers,installation-maintenance-and-repair-occupations,139,"1,268",136,"1,306",2,–,2020
Telecommunications line installers and repairers,telecommunications-line-installers-and-repairers,installation-maintenance-and-repair-occupations,155,"1,031",146,"1,076",9,–,2020
Precision instrument and equipment repairers,precision-instrument-and-equipment-repairers,installation-maintenance-and-repair-occupations,62,"1,085",52,"1,098",11,–,2020
Wind turbine service technicians,wind-turbine-service-technicians,installation-maintenance-and-repair-occupations,5,–,4,–,1,–,2020
"Coin, vending, and amusement machine servicers and repairers",coin-vending-and-amusement-machine-servicers-and-repairers,installation-maintenance-and-repair-occupations,27,–,22,–,6,–,2020
Commercial divers,commercial-divers,installation-maintenance-and-repair-occupations,3,–,3,–,0,–,2020
Locksmiths and safe repairers,locksmiths-and-safe-repairers,installation-maintenance-and-repair-occupations,19,–,19,–,0,–,2020
Manufactured building and mobile home installers,manufactured-building-and-mobile-home-installers,installation-maintenance-and-repair-occupations,3,–,3,–,0,–,2020
Riggers,riggers,installation-maintenance-and-repair-occupations,6,–,6,–,0,–,2020
"Helpers--installation, maintenance, and repair workers",helpers-installation-maintenance-and-repair-workers,installation-maintenance-and-repair-occupations,16,–,14,–,2,–,2020
"Other installation, maintenance, and repair workers",other-installation-maintenance-and-repair-workers,installation-maintenance-and-repair-occupations,139,780,131,810,8,–,2020
"Production, transportation, and material moving occupations",production-transportation-and-material-moving-occupations,,"14,738",746,"11,494",796,"3,243",614,2020
Production occupations,production-occupations,production-transportation-and-material-moving-occupations,"6,820",775,"5,055",841,"1,765",630,2020
First-line supervisors of production and operating workers,first-line-supervisors-of-production-and-operating-workers,production-occupations,713,"1,038",591,"1,099",122,816,2020
"Aircraft structure, surfaces, rigging, and systems assemblers",aircraft-structure-surfaces-rigging-and-systems-assemblers,production-occupations,3,–,2,–,1,–,2020
"Electrical, electronics, and electromechanical assemblers",electrical-electronics-and-electromechanical-assemblers,production-occupations,90,640,53,742,37,–,2020
Engine and other machine assemblers,engine-and-other-machine-assemblers,production-occupations,3,–,3,–,0,–,2020
Structural metal fabricators and fitters,structural-metal-fabricators-and-fitters,production-occupations,17,–,17,–,0,–,2020
Other assemblers and fabricators,other-assemblers-and-fabricators,production-occupations,828,705,565,740,263,638,2020
Bakers,bakers,production-occupations,131,596,53,621,78,584,2020
"Butchers and other meat, poultry, and fish processing workers",butchers-and-other-meat-poultry-and-fish-processing-workers,production-occupations,221,733,163,754,57,642,2020
"Food and tobacco roasting, baking, and drying machine operators and tenders",food-and-tobacco-roasting-baking-and-drying-machine-operators-and-tenders,production-occupations,8,–,7,–,1,–,2020
Food batchmakers,food-batchmakers,production-occupations,70,649,32,–,38,–,2020
Food cooking machine operators and tenders,food-cooking-machine-operators-and-tenders,production-occupations,7,–,2,–,5,–,2020
"Food processing workers, all other",food-processing-workers-all-other,production-occupations,118,669,74,743,44,–,2020
Computer numerically controlled tool operators and programmers,computer-numerically-controlled-tool-operators-and-programmers,production-occupations,96,964,89,974,6,–,2020
"Forming machine setters, operators, and tenders, metal and plastic",forming-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,24,–,23,–,1,–,2020
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",cutting-punching-and-press-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,69,821,58,843,11,–,2020
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",grinding-lapping-polishing-and-buffing-machine-tool-setters-operators-and-tenders-metal-and-plastic,production-occupations,35,–,29,–,6,–,2020
"Other machine tool setters, operators, and tenders, metal and plastic",other-machine-tool-setters-operators-and-tenders-metal-and-plastic,production-occupations,8,–,6,–,2,–,2020
Machinists,machinists,production-occupations,297,923,272,940,25,–,2020
"Metal furnace operators, tenders, pourers, and casters",metal-furnace-operators-tenders-pourers-and-casters,production-occupations,19,–,19,–,0,–,2020
"Model makers and patternmakers, metal and plastic",model-makers-and-patternmakers-metal-and-plastic,production-occupations,9,–,7,–,2,–,2020
"Molders and molding machine setters, operators, and tenders, metal and plastic",molders-and-molding-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,37,–,31,–,5,–,2020
Tool and die makers,tool-and-die-makers,production-occupations,37,–,36,–,1,–,2020
"Welding, soldering, and brazing workers",welding-soldering-and-brazing-workers,production-occupations,486,839,471,848,16,–,2020
Other metal workers and plastic workers,other-metal-workers-and-plastic-workers,production-occupations,338,770,277,816,61,622,2020
Prepress technicians and workers,prepress-technicians-and-workers,production-occupations,12,–,10,–,3,–,2020
Printing press operators,printing-press-operators,production-occupations,120,748,95,757,25,–,2020
Print binding and finishing workers,print-binding-and-finishing-workers,production-occupations,16,–,9,–,7,–,2020
Laundry and dry-cleaning workers,laundry-and-dry-cleaning-workers,production-occupations,94,538,34,–,60,522,2020
"Pressers, textile, garment, and related materials",pressers-textile-garment-and-related-materials,production-occupations,23,–,7,–,15,–,2020
Sewing machine operators,sewing-machine-operators,production-occupations,97,579,37,–,59,584,2020
Shoe and leather workers,shoe-and-leather-workers,production-occupations,6,–,2,–,3,–,2020
"Tailors, dressmakers, and sewers",tailors-dressmakers-and-sewers,production-occupations,31,–,5,–,26,–,2020
"Textile machine setters, operators, and tenders",textile-machine-setters-operators-and-tenders,production-occupations,15,–,5,–,10,–,2020
Upholsterers,upholsterers,production-occupations,20,–,18,–,2,–,2020
"Other textile, apparel, and furnishings workers",other-textile-apparel-and-furnishings-workers,production-occupations,12,–,9,–,2,–,2020
Cabinetmakers and bench carpenters,cabinetmakers-and-bench-carpenters,production-occupations,31,–,29,–,1,–,2020
Furniture finishers,furniture-finishers,production-occupations,9,–,3,–,6,–,2020
"Sawing machine setters, operators, and tenders, wood",sawing-machine-setters-operators-and-tenders-wood,production-occupations,20,–,16,–,3,–,2020
"Woodworking machine setters, operators, and tenders, except sawing",woodworking-machine-setters-operators-and-tenders-except-sawing,production-occupations,9,–,9,–,1,–,2020
Other woodworkers,other-woodworkers,production-occupations,12,–,12,–,0,–,2020
"Power plant operators, distributors, and dispatchers",power-plant-operators-distributors-and-dispatchers,production-occupations,38,–,37,–,1,–,2020
Stationary engineers and boiler operators,stationary-engineers-and-boiler-operators,production-occupations,45,–,40,–,5,–,2020
Water and wastewater treatment plant and system operators,water-and-wastewater-treatment-plant-and-system-operators,production-occupations,116,955,104,990,12,–,2020
Miscellaneous plant and system operators,miscellaneous-plant-and-system-operators,production-occupations,42,–,38,–,4,–,2020
"Chemical processing machine setters, operators, and tenders",chemical-processing-machine-setters-operators-and-tenders,production-occupations,50,"1,083",47,–,3,–,2020
"Crushing, grinding, polishing, mixing, and blending workers",crushing-grinding-polishing-mixing-and-blending-workers,production-occupations,79,766,61,788,17,–,2020
Cutting workers,cutting-workers,production-occupations,54,692,40,–,14,–,2020
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",extruding-forming-pressing-and-compacting-machine-setters-operators-and-tenders,production-occupations,22,–,15,–,7,–,2020
"Furnace, kiln, oven, drier, and kettle operators and tenders",furnace-kiln-oven-drier-and-kettle-operators-and-tenders,production-occupations,10,–,10,–,0,–,2020
"Inspectors, testers, sorters, samplers, and weighers",inspectors-testers-sorters-samplers-and-weighers,production-occupations,684,814,418,910,266,710,2020
Jewelers and precious stone and metal workers,jewelers-and-precious-stone-and-metal-workers,production-occupations,22,–,12,–,10,–,2020
Dental and ophthalmic laboratory technicians and medical appliance technicians,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians,production-occupations,59,694,23,–,36,–,2020
Packaging and filling machine operators and tenders,packaging-and-filling-machine-operators-and-tenders,production-occupations,224,620,126,667,98,544,2020
Painting workers,painting-workers,production-occupations,139,849,124,879,15,–,2020
Photographic process workers and processing machine operators,photographic-process-workers-and-processing-machine-operators,production-occupations,3,–,1,–,2,–,2020
Adhesive bonding machine operators and tenders,adhesive-bonding-machine-operators-and-tenders,production-occupations,8,–,6,–,2,–,2020
Etchers and engravers,etchers-and-engravers,production-occupations,3,–,3,–,0,–,2020
"Molders, shapers, and casters, except metal and plastic",molders-shapers-and-casters-except-metal-and-plastic,production-occupations,19,–,17,–,2,–,2020
"Paper goods machine setters, operators, and tenders",paper-goods-machine-setters-operators-and-tenders,production-occupations,22,–,18,–,4,–,2020
Tire builders,tire-builders,production-occupations,0,–,0,–,0,–,2020
Helpers--production workers,helpers-production-workers,production-occupations,31,–,23,–,9,–,2020
Other production equipment operators and tenders,other-production-equipment-operators-and-tenders,production-occupations,5,–,5,–,0,–,2020
Other production workers,other-production-workers,production-occupations,957,739,706,798,251,637,2020
Transportation and material moving occupations,transportation-and-material-moving-occupations,production-transportation-and-material-moving-occupations,"7,917",719,"6,439",759,"1,478",600,2020
Supervisors of transportation and material moving workers,supervisors-of-transportation-and-material-moving-workers,transportation-and-material-moving-occupations,222,919,175,943,47,–,2020
Aircraft pilots and flight engineers,aircraft-pilots-and-flight-engineers,transportation-and-material-moving-occupations,112,"1,923",109,"1,984",3,–,2020
Air traffic controllers and airfield operations specialists,air-traffic-controllers-and-airfield-operations-specialists,transportation-and-material-moving-occupations,32,–,29,–,3,–,2020
Flight attendants,flight-attendants,transportation-and-material-moving-occupations,54,895,13,–,41,–,2020
"Ambulance drivers and attendants, except emergency medical technicians",ambulance-drivers-and-attendants-except-emergency-medical-technicians,transportation-and-material-moving-occupations,8,–,7,–,1,–,2020
"Bus drivers, school",bus-drivers-school,transportation-and-material-moving-occupations,105,647,52,708,53,622,2020
"Bus drivers, transit and intercity",bus-drivers-transit-and-intercity,transportation-and-material-moving-occupations,146,783,89,774,57,791,2020
Driver/sales workers and truck drivers,driver-sales-workers-and-truck-drivers,transportation-and-material-moving-occupations,"2,592",896,"2,409",916,183,666,2020
Shuttle drivers and chauffeurs,shuttle-drivers-and-chauffeurs,transportation-and-material-moving-occupations,57,606,47,–,10,–,2020
Taxi drivers,taxi-drivers,transportation-and-material-moving-occupations,157,734,132,743,25,–,2020
"Motor vehicle operators, all other",motor-vehicle-operators-all-other,transportation-and-material-moving-occupations,84,616,70,642,15,–,2020
Locomotive engineers and operators,locomotive-engineers-and-operators,transportation-and-material-moving-occupations,50,"1,489",45,–,5,–,2020
Railroad conductors and yardmasters,railroad-conductors-and-yardmasters,transportation-and-material-moving-occupations,34,–,34,–,0,–,2020
Other rail transportation workers,other-rail-transportation-workers,transportation-and-material-moving-occupations,11,–,8,–,2,–,2020
Sailors and marine oilers,sailors-and-marine-oilers,transportation-and-material-moving-occupations,16,–,16,–,0,–,2020
Ship and boat captains and operators,ship-and-boat-captains-and-operators,transportation-and-material-moving-occupations,30,–,28,–,2,–,2020
Ship engineers,ship-engineers,transportation-and-material-moving-occupations,1,–,1,–,0,–,2020
Parking attendants,parking-attendants,transportation-and-material-moving-occupations,44,–,36,–,7,–,2020
Transportation service attendants,transportation-service-attendants,transportation-and-material-moving-occupations,81,611,70,614,11,–,2020
Transportation inspectors,transportation-inspectors,transportation-and-material-moving-occupations,26,–,21,–,6,–,2020
Passenger attendants,passenger-attendants,transportation-and-material-moving-occupations,14,–,4,–,11,–,2020
Other transportation workers,other-transportation-workers,transportation-and-material-moving-occupations,24,–,16,–,7,–,2020
Crane and tower operators,crane-and-tower-operators,transportation-and-material-moving-occupations,48,–,46,–,2,–,2020
"Conveyor, dredge, and hoist and winch operators",conveyor-dredge-and-hoist-and-winch-operators,transportation-and-material-moving-occupations,23,–,22,–,1,–,2020
Industrial truck and tractor operators,industrial-truck-and-tractor-operators,transportation-and-material-moving-occupations,507,711,467,708,41,–,2020
Cleaners of vehicles and equipment,cleaners-of-vehicles-and-equipment,transportation-and-material-moving-occupations,214,580,179,581,35,–,2020
"Laborers and freight, stock, and material movers, hand",laborers-and-freight-stock-and-material-movers-hand,transportation-and-material-moving-occupations,"1,587",650,"1,268",672,319,595,2020
Machine feeders and offbearers,machine-feeders-and-offbearers,transportation-and-material-moving-occupations,11,–,4,–,6,–,2020
"Packers and packagers, hand",packers-and-packagers-hand,transportation-and-material-moving-occupations,436,582,205,604,231,544,2020
Stockers and order fillers,stockers-and-order-fillers,transportation-and-material-moving-occupations,"1,058",593,714,602,345,576,2020
Pumping station operators,pumping-station-operators,transportation-and-material-moving-occupations,17,–,17,–,0,–,2020
Refuse and recyclable material collectors,refuse-and-recyclable-material-collectors,transportation-and-material-moving-occupations,70,680,64,698,6,–,2020
Other material moving workers,other-material-moving-workers,transportation-and-material-moving-occupations,46,–,41,–,5,–,2020
