Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
Occupational therapy assistants and aides,occupational-therapy-assistants-and-aides,healthcare-support-occupations,26,–,5,–,21,–,2020
Physical therapist assistants and aides,physical-therapist-assistants-and-aides,healthcare-support-occupations,58,964,21,–,37,–,2020
Massage therapists,massage-therapists,healthcare-support-occupations,38,–,14,–,25,–,2020
Dental assistants,dental-assistants,healthcare-support-occupations,204,661,11,–,193,663,2020
Medical assistants,medical-assistants,healthcare-support-occupations,450,675,44,–,407,665,2020
Medical transcriptionists,medical-transcriptionists,healthcare-support-occupations,29,–,4,–,24,–,2020
Pharmacy aides,pharmacy-aides,healthcare-support-occupations,32,–,11,–,21,–,2020
Veterinary assistants and laboratory animal caretakers,veterinary-assistants-and-laboratory-animal-caretakers,healthcare-support-occupations,42,–,12,–,31,–,2020
Phlebotomists,phlebotomists,healthcare-support-occupations,86,614,15,–,70,612,2020
Other healthcare support workers,other-healthcare-support-workers,healthcare-support-occupations,124,682,51,738,73,615,2020
Protective service occupations,protective-service-occupations,service-occupations,"2,690",982,"2,080","1,043",610,768,2020
First-line supervisors of correctional officers,first-line-supervisors-of-correctional-officers,protective-service-occupations,51,976,34,–,16,–,2020
First-line supervisors of police and detectives,first-line-supervisors-of-police-and-detectives,protective-service-occupations,92,"1,551",80,"1,553",11,–,2020
First-line supervisors of firefighting and prevention workers,first-line-supervisors-of-firefighting-and-prevention-workers,protective-service-occupations,34,–,30,–,4,–,2020
First-line supervisors of security workers,first-line-supervisors-of-security-workers,protective-service-occupations,67,946,44,–,24,–,2020
"First-line supervisors of protective service workers, all other",first-line-supervisors-of-protective-service-workers-all-other,protective-service-occupations,8,–,8,–,0,–,2020
Firefighters,firefighters,protective-service-occupations,320,"1,233",304,"1,256",16,–,2020
Fire inspectors,fire-inspectors,protective-service-occupations,21,–,20,–,1,–,2020
Bailiffs,bailiffs,protective-service-occupations,11,–,5,–,5,–,2020
Correctional officers and jailers,correctional-officers-and-jailers,protective-service-occupations,337,907,225,"1,073",112,743,2020
Detectives and criminal investigators,detectives-and-criminal-investigators,protective-service-occupations,146,"1,437",107,"1,544",39,–,2020
Fish and game wardens,fish-and-game-wardens,protective-service-occupations,5,–,4,–,1,–,2020
Parking enforcement workers,parking-enforcement-workers,protective-service-occupations,7,–,5,–,2,–,2020
Police officers,police-officers,protective-service-occupations,742,"1,155",611,"1,188",131,"1,074",2020
Animal control workers,animal-control-workers,protective-service-occupations,9,–,7,–,3,–,2020
Private detectives and investigators,private-detectives-and-investigators,protective-service-occupations,72,979,38,–,35,–,2020
Security guards and gambling surveillance officers,security-guards-and-gambling-surveillance-officers,protective-service-occupations,673,650,503,680,170,583,2020
Crossing guards and flaggers,crossing-guards-and-flaggers,protective-service-occupations,17,–,10,–,7,–,2020
Transportation security screeners,transportation-security-screeners,protective-service-occupations,40,–,24,–,16,–,2020
School bus monitors,school-bus-monitors,protective-service-occupations,0,–,0,–,0,–,2020
Other protective service workers,other-protective-service-workers,protective-service-occupations,37,–,22,–,15,–,2020
Food preparation and serving related occupations,food-preparation-and-serving-related-occupations,service-occupations,"3,353",530,"1,700",570,"1,653",506,2020
Chefs and head cooks,chefs-and-head-cooks,food-preparation-and-serving-related-occupations,321,696,263,707,57,613,2020
First-line supervisors of food preparation and serving workers,first-line-supervisors-of-food-preparation-and-serving-workers,food-preparation-and-serving-related-occupations,335,602,137,636,198,583,2020
Cooks,cooks,food-preparation-and-serving-related-occupations,"1,026",510,610,512,416,505,2020
Food preparation workers,food-preparation-workers,food-preparation-and-serving-related-occupations,355,510,132,576,224,489,2020
Bartenders,bartenders,food-preparation-and-serving-related-occupations,169,648,99,708,70,585,2020
Fast food and counter workers,fast-food-and-counter-workers,food-preparation-and-serving-related-occupations,231,468,84,462,146,470,2020
Waiters and waitresses,waiters-and-waitresses,food-preparation-and-serving-related-occupations,600,514,212,563,388,497,2020
"Food servers, nonrestaurant",food-servers-nonrestaurant,food-preparation-and-serving-related-occupations,85,531,25,–,60,513,2020
Dining room and cafeteria attendants and bartender helpers,dining-room-and-cafeteria-attendants-and-bartender-helpers,food-preparation-and-serving-related-occupations,99,508,50,545,48,–,2020
Dishwashers,dishwashers,food-preparation-and-serving-related-occupations,83,528,74,567,9,–,2020
"Hosts and hostesses, restaurant, lounge, and coffee shop",hosts-and-hostesses-restaurant-lounge-and-coffee-shop,food-preparation-and-serving-related-occupations,46,–,10,–,36,–,2020
"Food preparation and serving related workers, all other",food-preparation-and-serving-related-workers-all-other,food-preparation-and-serving-related-occupations,4,–,3,–,1,–,2020
Building and grounds cleaning and maintenance occupations,building-and-grounds-cleaning-and-maintenance-occupations,service-occupations,"3,138",603,"2,051",651,"1,087",511,2020
First-line supervisors of housekeeping and janitorial workers,first-line-supervisors-of-housekeeping-and-janitorial-workers,building-and-grounds-cleaning-and-maintenance-occupations,171,738,107,902,64,596,2020
