Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
"Compensation, benefits, and job analysis specialists",compensation-benefits-and-job-analysis-specialists,business-and-financial-operations-occupations,68,"1,252",16,-,51,"1,266",2023
Training and development specialists,training-and-development-specialists,business-and-financial-operations-occupations,144,"1,342",63,"1,648",80,"1,222",2023
Logisticians,logisticians,business-and-financial-operations-occupations,182,"1,130",105,"1,207",78,994,2023
Project management specialists,project-management-specialists,business-and-financial-operations-occupations,886,"1,811",481,"1,919",405,"1,661",2023
Management analysts,management-analysts,business-and-financial-operations-occupations,714,"1,890",360,"1,993",354,"1,817",2023
"Meeting, convention, and event planners",meeting-convention-and-event-planners,business-and-financial-operations-occupations,98,"1,234",25,-,73,"1,203",2023
Fundraisers,fundraisers,business-and-financial-operations-occupations,91,"1,481",22,-,69,"1,489",2023
Market research analysts and marketing specialists,market-research-analysts-and-marketing-specialists,business-and-financial-operations-occupations,416,"1,590",164,"1,771",252,"1,552",2023
"Business operations specialists, all other",business-operations-specialists-all-other,business-and-financial-operations-occupations,474,"1,465",212,"1,737",262,"1,224",2023
Accountants and auditors,accountants-and-auditors,business-and-financial-operations-occupations,"1,394","1,553",587,"1,644",807,"1,504",2023
Property appraisers and assessors,property-appraisers-and-assessors,business-and-financial-operations-occupations,53,"1,568",34,-,19,-,2023
Budget analysts,budget-analysts,business-and-financial-operations-occupations,37,-,21,-,16,-,2023
Credit analysts,credit-analysts,business-and-financial-operations-occupations,47,-,31,-,16,-,2023
Financial and investment analysts,financial-and-investment-analysts,business-and-financial-operations-occupations,358,"1,668",181,"1,760",177,"1,643",2023
Personal financial advisors,personal-financial-advisors,business-and-financial-operations-occupations,412,"1,884",258,"2,082",154,"1,552",2023
Insurance underwriters,insurance-underwriters,business-and-financial-operations-occupations,96,"1,367",42,-,54,"1,224",2023
Financial examiners,financial-examiners,business-and-financial-operations-occupations,19,-,9,-,9,-,2023
Credit counselors and loan officers,credit-counselors-and-loan-officers,business-and-financial-operations-occupations,304,"1,360",139,"1,457",165,"1,294",2023
"Tax examiners and collectors, and revenue agents",tax-examiners-and-collectors-and-revenue-agents,business-and-financial-operations-occupations,78,"1,396",32,-,46,-,2023
Tax preparers,tax-preparers,business-and-financial-operations-occupations,63,"1,154",14,-,49,-,2023
Other financial specialists,other-financial-specialists,business-and-financial-operations-occupations,120,"1,481",51,"2,386",69,"1,233",2023
Professional and related occupations,professional-and-related-occupations,management-professional-and-related-occupations,"32,088","1,458","14,645","1,736","17,443","1,278",2023
Computer and mathematical occupations,computer-and-mathematical-occupations,professional-and-related-occupations,"6,129","1,890","4,522","1,976","1,607","1,628",2023
Computer and information research scientists,computer-and-information-research-scientists,computer-and-mathematical-occupations,38,-,26,-,12,-,2023
Computer systems analysts,computer-systems-analysts,computer-and-mathematical-occupations,485,"1,701",291,"1,894",195,"1,487",2023
Information security analysts,information-security-analysts,computer-and-mathematical-occupations,209,"2,133",169,"2,306",40,-,2023
Computer programmers,computer-programmers,computer-and-mathematical-occupations,375,"1,889",300,"1,906",75,"1,760",2023
Software developers,software-developers,computer-and-mathematical-occupations,"2,104","2,283","1,682","2,296",422,"2,020",2023
Software quality assurance analysts and testers,software-quality-assurance-analysts-and-testers,computer-and-mathematical-occupations,73,"1,751",44,-,29,-,2023
Web developers,web-developers,computer-and-mathematical-occupations,57,"2,197",49,-,8,-,2023
Web and digital interface designers,web-and-digital-interface-designers,computer-and-mathematical-occupations,59,"1,423",30,-,29,-,2023
Computer support specialists,computer-support-specialists,computer-and-mathematical-occupations,616,"1,424",454,"1,478",162,"1,348",2023
Database administrators and architects,database-administrators-and-architects,computer-and-mathematical-occupations,108,"2,113",78,"2,283",30,-,2023
Network and computer systems administrators,network-and-computer-systems-administrators,computer-and-mathematical-occupations,200,"1,670",169,"1,830",30,-,2023
Computer network architects,computer-network-architects,computer-and-mathematical-occupations,97,"1,913",90,"1,967",8,-,2023
"Computer occupations, all other",computer-occupations-all-other,computer-and-mathematical-occupations,"1,104","1,597",833,"1,631",271,"1,430",2023
Actuaries,actuaries,computer-and-mathematical-occupations,45,-,27,-,18,-,2023
Mathematicians,mathematicians,computer-and-mathematical-occupations,4,-,4,-,0,-,2023
Operations research analysts,operations-research-analysts,computer-and-mathematical-occupations,142,"1,917",65,"2,208",77,"1,665",2023
Statisticians,statisticians,computer-and-mathematical-occupations,44,-,25,-,18,-,2023
Other mathematical science occupations,other-mathematical-science-occupations,computer-and-mathematical-occupations,369,"1,595",188,"1,668",181,"1,474",2023
Architecture and engineering occupations,architecture-and-engineering-occupations,professional-and-related-occupations,"3,374","1,785","2,821","1,864",553,"1,635",2023
"Architects, except landscape and naval",architects-except-landscape-and-naval,architecture-and-engineering-occupations,162,"1,831",108,"1,893",55,"1,691",2023
Landscape architects,landscape-architects,architecture-and-engineering-occupations,19,-,11,-,9,-,2023
"Surveyors, cartographers, and photogrammetrists",surveyors-cartographers-and-photogrammetrists,architecture-and-engineering-occupations,37,-,31,-,6,-,2023
Aerospace engineers,aerospace-engineers,architecture-and-engineering-occupations,177,"2,071",152,"2,086",25,-,2023
Agricultural engineers,agricultural-engineers,architecture-and-engineering-occupations,4,-,4,-,0,-,2023
Bioengineers and biomedical engineers,bioengineers-and-biomedical-engineers,architecture-and-engineering-occupations,27,-,21,-,6,-,2023
Chemical engineers,chemical-engineers,architecture-and-engineering-occupations,86,"2,285",67,"2,300",19,-,2023
Civil engineers,civil-engineers,architecture-and-engineering-occupations,479,"1,752",401,"1,839",78,"1,465",2023
Computer hardware engineers,computer-hardware-engineers,architecture-and-engineering-occupations,69,"2,277",65,"2,252",4,-,2023
Electrical and electronics engineers,electrical-and-electronics-engineers,architecture-and-engineering-occupations,244,"2,056",216,"2,101",28,-,2023
Environmental engineers,environmental-engineers,architecture-and-engineering-occupations,29,-,22,-,7,-,2023
"Industrial engineers, including health and safety",industrial-engineers-including-health-and-safety,architecture-and-engineering-occupations,278,"1,740",209,"1,766",69,"1,682",2023
Marine engineers and naval architects,marine-engineers-and-naval-architects,architecture-and-engineering-occupations,11,-,11,-,0,-,2023
Materials engineers,materials-engineers,architecture-and-engineering-occupations,52,"2,220",46,-,6,-,2023
Mechanical engineers,mechanical-engineers,architecture-and-engineering-occupations,423,"1,890",381,"1,901",43,-,2023
"Mining and geological engineers, including mining safety engineers",mining-and-geological-engineers-including-mining-safety-engineers,architecture-and-engineering-occupations,9,-,9,-,0,-,2023
Nuclear engineers,nuclear-engineers,architecture-and-engineering-occupations,4,-,4,-,0,-,2023
Petroleum engineers,petroleum-engineers,architecture-and-engineering-occupations,10,-,10,-,0,-,2023
"Engineers, all other",engineers-all-other,architecture-and-engineering-occupations,620,"1,938",528,"1,953",93,"1,904",2023
Architectural and civil drafters,architectural-and-civil-drafters,architecture-and-engineering-occupations,23,-,19,-,4,-,2023
Other drafters,other-drafters,architecture-and-engineering-occupations,73,"1,326",58,"1,259",15,-,2023
Electrical and electronic engineering technologists and technicians,electrical-and-electronic-engineering-technologists-and-technicians,architecture-and-engineering-occupations,93,"1,429",82,"1,442",12,-,2023
"Other engineering technologists and technicians, except drafters",other-engineering-technologists-and-technicians-except-drafters,architecture-and-engineering-occupations,359,"1,217",296,"1,287",63,982,2023
Surveying and mapping technicians,surveying-and-mapping-technicians,architecture-and-engineering-occupations,83,"1,001",73,"1,023",10,-,2023
"Life, physical, and social science occupations",life-physical-and-social-science-occupations,professional-and-related-occupations,"1,583","1,541",830,"1,658",753,"1,445",2023
Agricultural and food scientists,agricultural-and-food-scientists,life-physical-and-social-science-occupations,22,-,13,-,10,-,2023
Biological scientists,biological-scientists,life-physical-and-social-science-occupations,104,"1,404",47,-,57,"1,352",2023
Conservation scientists and foresters,conservation-scientists-and-foresters,life-physical-and-social-science-occupations,29,-,19,-,10,-,2023
Medical scientists,medical-scientists,life-physical-and-social-science-occupations,138,"1,826",69,"2,290",69,"1,537",2023
"Life scientists, all other",life-scientists-all-other,life-physical-and-social-science-occupations,8,-,3,-,5,-,2023
Astronomers and physicists,astronomers-and-physicists,life-physical-and-social-science-occupations,24,-,19,-,5,-,2023
Atmospheric and space scientists,atmospheric-and-space-scientists,life-physical-and-social-science-occupations,13,-,9,-,4,-,2023
Chemists and materials scientists,chemists-and-materials-scientists,life-physical-and-social-science-occupations,96,"1,913",63,"2,180",33,-,2023
"Environmental scientists and specialists, including health",environmental-scientists-and-specialists-including-health,life-physical-and-social-science-occupations,49,-,26,-,23,-,2023
"Geoscientists and hydrologists, except geographers",geoscientists-and-hydrologists-except-geographers,life-physical-and-social-science-occupations,31,-,21,-,10,-,2023
"Physical scientists, all other",physical-scientists-all-other,life-physical-and-social-science-occupations,399,"1,731",220,"1,742",179,"1,649",2023
Economists,economists,life-physical-and-social-science-occupations,22,-,14,-,8,-,2023
Survey researchers,survey-researchers,life-physical-and-social-science-occupations,3,-,2,-,2,-,2023
Clinical and counseling psychologists,clinical-and-counseling-psychologists,life-physical-and-social-science-occupations,5,-,2,-,3,-,2023
School psychologists,school-psychologists,life-physical-and-social-science-occupations,46,-,5,-,41,-,2023
Other psychologists,other-psychologists,life-physical-and-social-science-occupations,65,"1,726",16,-,49,-,2023
Sociologists,sociologists,life-physical-and-social-science-occupations,6,-,1,-,4,-,2023
Urban and regional planners,urban-and-regional-planners,life-physical-and-social-science-occupations,34,-,23,-,12,-,2023
Miscellaneous social scientists and related workers,miscellaneous-social-scientists-and-related-workers,life-physical-and-social-science-occupations,42,-,20,-,22,-,2023
Agricultural and food science technicians,agricultural-and-food-science-technicians,life-physical-and-social-science-occupations,34,-,20,-,15,-,2023
Biological technicians,biological-technicians,life-physical-and-social-science-occupations,26,-,15,-,11,-,2023
Chemical technicians,chemical-technicians,life-physical-and-social-science-occupations,58,"1,377",39,-,18,-,2023
Environmental science and geoscience technicians,environmental-science-and-geoscience-technicians,life-physical-and-social-science-occupations,13,-,11,-,2,-,2023
Nuclear technicians,nuclear-technicians,life-physical-and-social-science-occupations,8,-,3,-,5,-,2023
Social science research assistants,social-science-research-assistants,life-physical-and-social-science-occupations,4,-,3,-,1,-,2023
"Other life, physical, and social science technicians",other-life-physical-and-social-science-technicians,life-physical-and-social-science-occupations,240,"1,306",99,"1,430",141,"1,275",2023
Occupational health and safety specialists and technicians,occupational-health-and-safety-specialists-and-technicians,life-physical-and-social-science-occupations,63,"1,437",49,-,14,-,2023
Community and social service occupations,community-and-social-service-occupations,professional-and-related-occupations,"2,334","1,147",735,"1,157","1,599","1,144",2023
Substance abuse and behavioral disorder counselors,substance-abuse-and-behavioral-disorder-counselors,community-and-social-service-occupations,103,"1,138",24,-,79,"1,130",2023
"Educational, guidance, and career counselors and advisors",educational-guidance-and-career-counselors-and-advisors,community-and-social-service-occupations,338,"1,167",73,"1,227",264,"1,158",2023
Marriage and family therapists,marriage-and-family-therapists,community-and-social-service-occupations,14,-,1,-,13,-,2023
Mental health counselors,mental-health-counselors,community-and-social-service-occupations,123,"1,316",32,-,91,"1,372",2023
Rehabilitation counselors,rehabilitation-counselors,community-and-social-service-occupations,13,-,5,-,8,-,2023
"Counselors, all other",counselors-all-other,community-and-social-service-occupations,182,"1,070",51,"1,248",132,"1,011",2023
"Child, family, and school social workers",child-family-and-school-social-workers,community-and-social-service-occupations,64,"1,064",6,-,57,"1,080",2023
Healthcare social workers,healthcare-social-workers,community-and-social-service-occupations,68,"1,028",18,-,50,"1,028",2023
Mental health and substance abuse social workers,mental-health-and-substance-abuse-social-workers,community-and-social-service-occupations,11,-,3,-,8,-,2023
"Social workers, all other",social-workers-all-other,community-and-social-service-occupations,654,"1,233",113,"1,253",541,"1,228",2023
Probation officers and correctional treatment specialists,probation-officers-and-correctional-treatment-specialists,community-and-social-service-occupations,79,"1,196",33,-,46,-,2023
Social and human service assistants,social-and-human-service-assistants,community-and-social-service-occupations,200,963,54,967,146,962,2023
Other community and social service specialists,other-community-and-social-service-specialists,community-and-social-service-occupations,82,"1,045",23,-,60,"1,055",2023
Clergy,clergy,community-and-social-service-occupations,308,"1,084",261,"1,074",47,-,2023
"Directors, religious activities and education",directors-religious-activities-and-education,community-and-social-service-occupations,58,"1,244",21,-,37,-,2023
"Religious workers, all other",religious-workers-all-other,community-and-social-service-occupations,37,-,17,-,20,-,2023
Legal occupations,legal-occupations,professional-and-related-occupations,"1,490","1,880",667,"2,301",823,"1,543",2023
Lawyers,lawyers,legal-occupations,887,"2,438",514,"2,505",374,"2,330",2023
Judicial law clerks,judicial-law-clerks,legal-occupations,13,-,1,-,13,-,2023
"Judges, magistrates, and other judicial workers",judges-magistrates-and-other-judicial-workers,legal-occupations,66,"2,196",32,-,34,-,2023
Paralegals and legal assistants,paralegals-and-legal-assistants,legal-occupations,371,"1,159",68,"1,425",303,"1,125",2023
"Title examiners, abstractors, and searchers",title-examiners-abstractors-and-searchers,legal-occupations,83,"1,143",25,-,58,"1,030",2023
"Legal support workers, all other",legal-support-workers-all-other,legal-occupations,70,"1,320",28,-,42,-,2023
"Education, training, and library occupations",education-training-and-library-occupations,professional-and-related-occupations,"7,524","1,180","2,070","1,376","5,455","1,134",2023
Postsecondary teachers,postsecondary-teachers,education-training-and-library-occupations,828,"1,723",462,"1,852",366,"1,565",2023
Preschool and kindergarten teachers,preschool-and-kindergarten-teachers,education-training-and-library-occupations,523,791,18,-,505,789,2023
Elementary and middle school teachers,elementary-and-middle-school-teachers,education-training-and-library-occupations,"3,117","1,243",673,"1,370","2,444","1,220",2023
Secondary school teachers,secondary-school-teachers,education-training-and-library-occupations,859,"1,271",367,"1,347",493,"1,213",2023
Special education teachers,special-education-teachers,education-training-and-library-occupations,308,"1,164",42,-,266,"1,156",2023
Tutors,tutors,education-training-and-library-occupations,28,-,8,-,20,-,2023
Other teachers and instructors,other-teachers-and-instructors,education-training-and-library-occupations,584,"1,165",229,"1,242",355,"1,124",2023
"Archivists, curators, and museum technicians",archivists-curators-and-museum-technicians,education-training-and-library-occupations,57,"1,289",22,-,35,-,2023
Librarians and media collections specialists,librarians-and-media-collections-specialists,education-training-and-library-occupations,117,"1,118",24,-,93,"1,174",2023
Library technicians,library-technicians,education-training-and-library-occupations,15,-,5,-,11,-,2023
Teaching assistants,teaching-assistants,education-training-and-library-occupations,940,698,184,772,757,685,2023
Other educational instruction and library workers,other-educational-instruction-and-library-workers,education-training-and-library-occupations,148,"1,310",37,-,111,"1,291",2023
"Arts, design, entertainment, sports, and media occupations",arts-design-entertainment-sports-and-media-occupations,professional-and-related-occupations,"1,858","1,343","1,036","1,381",822,"1,271",2023
Artists and related workers,artists-and-related-workers,arts-design-entertainment-sports-and-media-occupations,94,"1,543",57,"1,458",37,-,2023
Commercial and industrial designers,commercial-and-industrial-designers,arts-design-entertainment-sports-and-media-occupations,13,-,11,-,2,-,2023
Fashion designers,fashion-designers,arts-design-entertainment-sports-and-media-occupations,25,-,6,-,19,-,2023
Floral designers,floral-designers,arts-design-entertainment-sports-and-media-occupations,25,-,6,-,19,-,2023
Graphic designers,graphic-designers,arts-design-entertainment-sports-and-media-occupations,248,"1,253",119,"1,294",130,"1,221",2023
Interior designers,interior-designers,arts-design-entertainment-sports-and-media-occupations,50,"1,256",10,-,40,-,2023
Merchandise displayers and window trimmers,merchandise-displayers-and-window-trimmers,arts-design-entertainment-sports-and-media-occupations,18,-,7,-,11,-,2023
Other designers,other-designers,arts-design-entertainment-sports-and-media-occupations,272,"1,482",178,"1,495",94,"1,408",2023
Actors,actors,arts-design-entertainment-sports-and-media-occupations,17,-,7,-,11,-,2023
Producers and directors,producers-and-directors,arts-design-entertainment-sports-and-media-occupations,130,"1,467",58,"1,312",72,"1,609",2023
Athletes and sports competitors,athletes-and-sports-competitors,arts-design-entertainment-sports-and-media-occupations,28,-,23,-,5,-,2023
Coaches and scouts,coaches-and-scouts,arts-design-entertainment-sports-and-media-occupations,113,"1,168",85,"1,336",29,-,2023
"Umpires, referees, and other sports officials",umpires-referees-and-other-sports-officials,arts-design-entertainment-sports-and-media-occupations,2,-,2,-,0,-,2023
Dancers and choreographers,dancers-and-choreographers,arts-design-entertainment-sports-and-media-occupations,5,-,2,-,3,-,2023
Music directors and composers,music-directors-and-composers,arts-design-entertainment-sports-and-media-occupations,18,-,13,-,4,-,2023
Musicians and singers,musicians-and-singers,arts-design-entertainment-sports-and-media-occupations,36,-,30,-,6,-,2023
"Disc jockeys, except radio",disc-jockeys-except-radio,arts-design-entertainment-sports-and-media-occupations,12,-,12,-,0,-,2023
"Entertainers and performers, sports and related workers, all other",entertainers-and-performers-sports-and-related-workers-all-other,arts-design-entertainment-sports-and-media-occupations,6,-,1,-,4,-,2023
Broadcast announcers and radio disc jockeys,broadcast-announcers-and-radio-disc-jockeys,arts-design-entertainment-sports-and-media-occupations,20,-,12,-,8,-,2023
"News analysts, reporters, and journalists",news-analysts-reporters-and-journalists,arts-design-entertainment-sports-and-media-occupations,46,-,25,-,21,-,2023
Public relations specialists,public-relations-specialists,arts-design-entertainment-sports-and-media-occupations,126,"1,544",36,-,90,"1,541",2023
Editors,editors,arts-design-entertainment-sports-and-media-occupations,82,"1,440",36,-,46,-,2023
Technical writers,technical-writers,arts-design-entertainment-sports-and-media-occupations,46,-,17,-,29,-,2023
Writers and authors,writers-and-authors,arts-design-entertainment-sports-and-media-occupations,101,"1,322",57,"1,551",44,-,2023
Interpreters and translators,interpreters-and-translators,arts-design-entertainment-sports-and-media-occupations,55,964,18,-,36,-,2023
Court reporters and simultaneous captioners,court-reporters-and-simultaneous-captioners,arts-design-entertainment-sports-and-media-occupations,12,-,2,-,10,-,2023
"Media and communication workers, all other",media-and-communication-workers-all-other,arts-design-entertainment-sports-and-media-occupations,22,-,18,-,4,-,2023
"Broadcast, sound, and lighting technicians",broadcast-sound-and-lighting-technicians,arts-design-entertainment-sports-and-media-occupations,80,"1,387",73,"1,397",6,-,2023
Photographers,photographers,arts-design-entertainment-sports-and-media-occupations,62,"1,135",46,-,16,-,2023
"Television, video, and film camera operators and editors",television-video-and-film-camera-operators-and-editors,arts-design-entertainment-sports-and-media-occupations,93,"1,259",67,"1,254",26,-,2023
"Media and communication equipment workers, all other",media-and-communication-equipment-workers-all-other,arts-design-entertainment-sports-and-media-occupations,2,-,2,-,0,-,2023
Healthcare practitioners and technical occupations,healthcare-practitioners-and-technical-occupations,professional-and-related-occupations,"7,795","1,404","1,963","1,682","5,832","1,341",2023
Chiropractors,chiropractors,healthcare-practitioners-and-technical-occupations,13,-,5,-,9,-,2023
Dentists,dentists,healthcare-practitioners-and-technical-occupations,64,"2,837",33,-,31,-,2023
Dietitians and nutritionists,dietitians-and-nutritionists,healthcare-practitioners-and-technical-occupations,84,"1,137",16,-,69,"1,147",2023
Optometrists,optometrists,healthcare-practitioners-and-technical-occupations,16,-,6,-,11,-,2023
Pharmacists,pharmacists,healthcare-practitioners-and-technical-occupations,316,"2,208",134,"2,238",182,"2,180",2023
Emergency medicine physicians,emergency-medicine-physicians,healthcare-practitioners-and-technical-occupations,21,-,9,-,11,-,2023
Radiologists,radiologists,healthcare-practitioners-and-technical-occupations,18,-,13,-,5,-,2023
Other physicians,other-physicians,healthcare-practitioners-and-technical-occupations,715,"2,914",398,"2,920",317,"2,907",2023
Surgeons,surgeons,healthcare-practitioners-and-technical-occupations,52,"3,300",42,-,10,-,2023
Physician assistants,physician-assistants,healthcare-practitioners-and-technical-occupations,137,"2,006",45,-,92,"1,852",2023
Podiatrists,podiatrists,healthcare-practitioners-and-technical-occupations,3,-,0,-,3,-,2023
Audiologists,audiologists,healthcare-practitioners-and-technical-occupations,14,-,1,-,13,-,2023
Occupational therapists,occupational-therapists,healthcare-practitioners-and-technical-occupations,116,"1,447",14,-,102,"1,431",2023
Physical therapists,physical-therapists,healthcare-practitioners-and-technical-occupations,234,"1,607",89,"1,715",145,"1,526",2023
Radiation therapists,radiation-therapists,healthcare-practitioners-and-technical-occupations,15,-,2,-,13,-,2023
Recreational therapists,recreational-therapists,healthcare-practitioners-and-technical-occupations,7,-,1,-,6,-,2023
Respiratory therapists,respiratory-therapists,healthcare-practitioners-and-technical-occupations,78,"1,371",36,-,42,-,2023
Speech-language pathologists,speech-language-pathologists,healthcare-practitioners-and-technical-occupations,140,"1,433",11,-,128,"1,435",2023
Exercise physiologists,exercise-physiologists,healthcare-practitioners-and-technical-occupations,6,-,3,-,4,-,2023
"Therapists, all other",therapists-all-other,healthcare-practitioners-and-technical-occupations,178,"1,257",31,-,147,"1,257",2023
Veterinarians,veterinarians,healthcare-practitioners-and-technical-occupations,53,"2,020",17,-,36,-,2023
Registered nurses,registered-nurses,healthcare-practitioners-and-technical-occupations,"2,817","1,442",404,"1,657","2,413","1,409",2023
Nurse anesthetists,nurse-anesthetists,healthcare-practitioners-and-technical-occupations,14,-,6,-,8,-,2023
Nurse midwives,nurse-midwives,healthcare-practitioners-and-technical-occupations,3,-,0,-,3,-,2023
Nurse practitioners,nurse-practitioners,healthcare-practitioners-and-technical-occupations,212,"2,079",20,-,191,"2,031",2023
Acupuncturists,acupuncturists,healthcare-practitioners-and-technical-occupations,3,-,2,-,1,-,2023
"Healthcare diagnosing or treating practitioners, all other",healthcare-diagnosing-or-treating-practitioners-all-other,healthcare-practitioners-and-technical-occupations,4,-,2,-,3,-,2023
Clinical laboratory technologists and technicians,clinical-laboratory-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,251,"1,117",55,"1,172",197,"1,089",2023
Dental hygienists,dental-hygienists,healthcare-practitioners-and-technical-occupations,106,"1,326",5,-,100,"1,276",2023
Cardiovascular technologists and technicians,cardiovascular-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,33,-,14,-,18,-,2023
Diagnostic medical sonographers,diagnostic-medical-sonographers,healthcare-practitioners-and-technical-occupations,87,"1,343",29,-,58,"1,286",2023
Radiologic technologists and technicians,radiologic-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,204,"1,412",68,"1,483",136,"1,321",2023
Magnetic resonance imaging technologists,magnetic-resonance-imaging-technologists,healthcare-practitioners-and-technical-occupations,41,-,8,-,33,-,2023
Nuclear medicine technologists and medical dosimetrists,nuclear-medicine-technologists-and-medical-dosimetrists,healthcare-practitioners-and-technical-occupations,35,-,19,-,16,-,2023
Emergency medical technicians,emergency-medical-technicians,healthcare-practitioners-and-technical-occupations,119,"1,101",78,"1,170",41,-,2023
Paramedics,paramedics,healthcare-practitioners-and-technical-occupations,102,"1,318",70,"1,349",32,-,2023
Pharmacy technicians,pharmacy-technicians,healthcare-practitioners-and-technical-occupations,244,903,55,992,189,886,2023
Psychiatric technicians,psychiatric-technicians,healthcare-practitioners-and-technical-occupations,99,885,37,-,62,895,2023
Surgical technologists,surgical-technologists,healthcare-practitioners-and-technical-occupations,95,"1,244",18,-,77,"1,235",2023
