Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
"Total, full-time wage and salary workers",total-full-time-wage-and-salary-workers,,"120,907","1,117","66,700","1,202","54,207","1,005",2023
"Management, professional, and related occupations",management-professional-and-related-occupations,,"56,077","1,527","27,070","1,778","29,007","1,349",2023
"Management, business, and financial operations occupations",management-business-and-financial-operations-occupations,management-professional-and-related-occupations,"23,989","1,630","12,425","1,868","11,564","1,449",2023
Management occupations,management-occupations,management-business-and-financial-operations-occupations,"15,762","1,730","8,731","1,900","7,032","1,483",2023
Chief executives,chief-executives,management-occupations,"1,261","2,901",854,"2,983",407,"2,520",2023
General and operations managers,general-and-operations-managers,management-occupations,"1,222","1,544",767,"1,689",456,"1,347",2023
Legislators,legislators,management-occupations,6,-,3,-,3,-,2023
Advertising and promotions managers,advertising-and-promotions-managers,management-occupations,47,-,29,-,18,-,2023
Marketing managers,marketing-managers,management-occupations,508,"1,812",188,"1,911",320,"1,746",2023
Sales managers,sales-managers,management-occupations,566,"2,004",390,"2,297",176,"1,688",2023
Public relations and fundraising managers,public-relations-and-fundraising-managers,management-occupations,114,"1,889",39,-,75,"1,733",2023
Administrative services managers,administrative-services-managers,management-occupations,75,"1,405",25,-,49,-,2023
Facilities managers,facilities-managers,management-occupations,145,"1,436",114,"1,575",32,-,2023
Computer and information systems managers,computer-and-information-systems-managers,management-occupations,781,"2,303",569,"2,313",212,"2,192",2023
Financial managers,financial-managers,management-occupations,"1,355","1,757",607,"2,100",748,"1,497",2023
Compensation and benefits managers,compensation-and-benefits-managers,management-occupations,16,-,4,-,12,-,2023
Human resources managers,human-resources-managers,management-occupations,324,"1,756",79,"1,891",245,"1,706",2023
Training and development managers,training-and-development-managers,management-occupations,58,"1,976",27,-,31,-,2023
Industrial production managers,industrial-production-managers,management-occupations,260,"1,875",212,"1,884",48,-,2023
Purchasing managers,purchasing-managers,management-occupations,234,"1,741",129,"1,879",105,"1,585",2023
"Transportation, storage, and distribution managers",transportation-storage-and-distribution-managers,management-occupations,360,"1,262",277,"1,318",83,"1,219",2023
"Farmers, ranchers, and other agricultural managers",farmers-ranchers-and-other-agricultural-managers,management-occupations,116,"1,171",86,"1,216",30,-,2023
Construction managers,construction-managers,management-occupations,693,"1,680",611,"1,747",82,"1,431",2023
Education and childcare administrators,education-and-childcare-administrators,management-occupations,941,"1,565",294,"1,870",647,"1,469",2023
Architectural and engineering managers,architectural-and-engineering-managers,management-occupations,174,"2,904",150,"2,887",24,-,2023
Food service managers,food-service-managers,management-occupations,720,988,384,"1,121",336,924,2023
Funeral home managers,funeral-home-managers,management-occupations,5,-,3,-,2,-,2023
Entertainment and recreation managers,entertainment-and-recreation-managers,management-occupations,53,"1,035",32,-,21,-,2023
Lodging managers,lodging-managers,management-occupations,116,"1,257",42,-,74,"1,069",2023
Medical and health services managers,medical-and-health-services-managers,management-occupations,767,"1,634",224,"1,914",543,"1,540",2023
Natural sciences managers,natural-sciences-managers,management-occupations,36,-,14,-,22,-,2023
Postmasters and mail superintendents,postmasters-and-mail-superintendents,management-occupations,16,-,4,-,12,-,2023
"Property, real estate, and community association managers",property-real-estate-and-community-association-managers,management-occupations,489,"1,263",189,"1,521",300,"1,143",2023
Social and community service managers,social-and-community-service-managers,management-occupations,410,"1,382",113,"1,501",297,"1,341",2023
Emergency management directors,emergency-management-directors,management-occupations,13,-,8,-,4,-,2023
"Personal service managers, all other",personal-service-managers-all-other,management-occupations,10,-,2,-,9,-,2023
"Managers, all other",managers-all-other,management-occupations,"3,872","1,738","2,263","1,887","1,609","1,536",2023
Business and financial operations occupations,business-and-financial-operations-occupations,management-business-and-financial-operations-occupations,"8,227","1,517","3,694","1,674","4,533","1,406",2023
"Agents and business managers of artists, performers, and athletes",agents-and-business-managers-of-artists-performers-and-athletes,business-and-financial-operations-occupations,29,-,15,-,14,-,2023
"Buyers and purchasing agents, farm products",buyers-and-purchasing-agents-farm-products,business-and-financial-operations-occupations,8,-,5,-,3,-,2023
"Wholesale and retail buyers, except farm products",wholesale-and-retail-buyers-except-farm-products,business-and-financial-operations-occupations,141,"1,125",57,"1,270",84,"1,029",2023
"Purchasing agents, except wholesale, retail, and farm products",purchasing-agents-except-wholesale-retail-and-farm-products,business-and-financial-operations-occupations,287,"1,370",134,"1,514",153,"1,216",2023
"Claims adjusters, appraisers, examiners, and investigators",claims-adjusters-appraisers-examiners-and-investigators,business-and-financial-operations-occupations,367,"1,370",153,"1,468",214,"1,306",2023
Compliance officers,compliance-officers,business-and-financial-operations-occupations,314,"1,458",145,"1,597",169,"1,377",2023
Cost estimators,cost-estimators,business-and-financial-operations-occupations,134,"1,355",114,"1,401",20,-,2023
Human resources workers,human-resources-workers,business-and-financial-operations-occupations,893,"1,273",226,"1,367",667,"1,259",2023
